src_rel,dst_rel,action,src_size,dst_size
Animals/bat.jpg,Animals/bat.jpg,normalize_400x400_jpg,400x243,400x400
Animals/bear.jpg,Animals/bear.jpg,normalize_400x400_jpg,400x300,400x400
Animals/camel.jpg,Animals/camel.jpg,normalize_400x400_jpg,325x400,400x400
Animals/cat.jpg,Animals/cat.jpg,normalize_400x400_jpg,400x245,400x400
Animals/cow.jpg,Animals/cow.jpg,normalize_400x400_jpg,400x268,400x400
Animals/crocodile.jpg,Animals/crocodile.jpg,normalize_400x400_jpg,400x267,400x400
Animals/deer.jpg,Animals/deer.jpg,normalize_400x400_jpg,354x400,400x400
Animals/dog.jpg,Animals/dog.jpg,normalize_400x400_jpg,400x266,400x400
Animals/dolphin.jpg,Animals/dolphin.jpg,normalize_400x400_jpg,400x266,400x400
Animals/donkey.jpg,Animals/donkey.jpg,normalize_400x400_jpg,400x286,400x400
Animals/elephant.jpg,Animals/elephant.jpg,normalize_400x400_jpg,267x400,400x400
Animals/fish.jpg,Animals/fish.jpg,normalize_400x400_jpg,400x225,400x400
Animals/fox.jpg,Animals/fox.jpg,normalize_400x400_jpg,400x300,400x400
Animals/frog.jpg,Animals/frog.jpg,normalize_400x400_jpg,400x286,400x400
Animals/giraffe.jpg,Animals/giraffe.jpg,normalize_400x400_jpg,316x400,400x400
Animals/goat.jpg,Animals/goat.jpg,normalize_400x400_jpg,400x400,400x400
Animals/hare.jpg,Animals/hare.jpg,normalize_400x400_jpg,300x400,400x400
Animals/hen.jpg,Animals/hen.jpg,normalize_400x400_jpg,300x400,400x400
Animals/horse.jpg,Animals/horse.jpg,normalize_400x400_jpg,400x275,400x400
Animals/kangaroo.jpg,Animals/kangaroo.jpg,normalize_400x400_jpg,400x267,400x400
Animals/lion.jpg,Animals/lion.jpg,normalize_400x400_jpg,400x267,400x400
Animals/monkey.jpg,Animals/monkey.jpg,normalize_400x400_jpg,357x400,400x400
Animals/mouse.jpg,Animals/mouse.jpg,normalize_400x400_jpg,400x211,400x400
Animals/pig.jpg,Animals/pig.jpg,normalize_400x400_jpg,400x248,400x400
Animals/rabbit.jpg,Animals/rabbit.jpg,normalize_400x400_jpg,323x400,400x400
Animals/rat.jpg,Animals/rat.jpg,normalize_400x400_jpg,400x287,400x400
Animals/shark.jpg,Animals/shark.jpg,normalize_400x400_jpg,400x225,400x400
Animals/sheep.jpg,Animals/sheep.jpg,normalize_400x400_jpg,263x400,400x400
Animals/snake.jpg,Animals/snake.jpg,normalize_400x400_jpg,400x267,400x400
Animals/spider.jpg,Animals/spider.jpg,normalize_400x400_jpg,400x400,400x400
Animals/squirrel.jpg,Animals/squirrel.jpg,normalize_400x400_jpg,400x400,400x400
Animals/tiger.jpg,Animals/tiger.jpg,normalize_400x400_jpg,400x267,400x400
Animals/turtle.jpg,Animals/turtle.jpg,normalize_400x400_jpg,400x225,400x400
Animals/whale.jpg,Animals/whale.jpg,normalize_400x400_jpg,267x400,400x400
Animals/wolf.jpg,Animals/wolf.jpg,normalize_400x400_jpg,400x310,400x400
Animals/zebra.jpg,Animals/zebra.jpg,normalize_400x400_jpg,310x400,400x400
Birds/blackbird.jpg,Birds/blackbird.jpg,normalize_400x400_jpg,400x267,400x400
Birds/buzzard.jpg,Birds/buzzard.jpg,normalize_400x400_jpg,267x400,400x400
Birds/crow.jpg,Birds/crow.jpg,normalize_400x400_jpg,375x400,400x400
Birds/cuckoo.jpg,Birds/cuckoo.jpg,normalize_400x400_jpg,267x400,400x400
Birds/duck.jpg,Birds/duck.jpg,normalize_400x400_jpg,400x267,400x400
Birds/eagle.jpg,Birds/eagle.jpg,normalize_400x400_jpg,400x333,400x400
Birds/falcon.jpg,Birds/falcon.jpg,normalize_400x400_jpg,267x400,400x400
Birds/finch.jpg,Birds/finch.jpg,normalize_400x400_jpg,400x300,400x400
Birds/flamingo.jpg,Birds/flamingo.jpg,normalize_400x400_jpg,400x269,400x400
Birds/goldfinch.jpg,Birds/goldfinch.jpg,normalize_400x400_jpg,400x267,400x400
Birds/goose.jpg,Birds/goose.jpg,normalize_400x400_jpg,400x307,400x400
Birds/gull.jpg,Birds/gull.jpg,normalize_400x400_jpg,400x271,400x400
Birds/hawk.jpg,Birds/hawk.jpg,normalize_400x400_jpg,245x400,400x400
Birds/jackdaw.jpg,Birds/jackdaw.jpg,normalize_400x400_jpg,400x280,400x400
Birds/jay.jpg,Birds/jay.jpg,normalize_400x400_jpg,400x294,400x400
Birds/kingfisher.jpg,Birds/kingfisher.jpg,normalize_400x400_jpg,400x267,400x400
Birds/lapwing.jpg,Birds/lapwing.jpg,normalize_400x400_jpg,400x300,400x400
Birds/lark.jpg,Birds/lark.jpg,normalize_400x400_jpg,285x400,400x400
Birds/magpie.jpg,Birds/magpie.jpg,normalize_400x400_jpg,400x355,400x400
Birds/nightingale.jpg,Birds/nightingale.jpg,normalize_400x400_jpg,400x267,400x400
Birds/ostrich.jpg,Birds/ostrich.jpg,normalize_400x400_jpg,400x208,400x400
Birds/owl.jpg,Birds/owl.jpg,normalize_400x400_jpg,267x400,400x400
Birds/parrot.jpg,Birds/parrot.jpg,normalize_400x400_jpg,309x400,400x400
Birds/partridge.jpg,Birds/partridge.jpg,normalize_400x400_jpg,400x241,400x400
Birds/peacock.jpg,Birds/peacock.jpg,normalize_400x400_jpg,400x245,400x400
Birds/pelican.jpg,Birds/pelican.jpg,normalize_400x400_jpg,400x300,400x400
Birds/penguin.jpg,Birds/penguin.jpg,normalize_400x400_jpg,249x400,400x400
Birds/pheasant.jpg,Birds/pheasant.jpg,normalize_400x400_jpg,400x263,400x400
Birds/pigeon.jpg,Birds/pigeon.jpg,normalize_400x400_jpg,400x267,400x400
Birds/quail.jpg,Birds/quail.jpg,normalize_400x400_jpg,400x331,400x400
Birds/raven.jpg,Birds/raven.jpg,normalize_400x400_jpg,400x266,400x400
Birds/rooster.jpg,Birds/rooster.jpg,normalize_400x400_jpg,300x400,400x400
Birds/sparrow.jpg,Birds/sparrow.jpg,normalize_400x400_jpg,400x311,400x400
Birds/starling.jpg,Birds/starling.jpg,normalize_400x400_jpg,313x400,400x400
Birds/stork.jpg,Birds/stork.jpg,normalize_400x400_jpg,300x400,400x400
Birds/swallow.jpg,Birds/swallow.jpg,normalize_400x400_jpg,400x267,400x400
Birds/swan.jpg,Birds/swan.jpg,normalize_400x400_jpg,400x303,400x400
Birds/thrush.jpg,Birds/thrush.jpg,normalize_400x400_jpg,400x303,400x400
Birds/tit.jpg,Birds/tit.jpg,normalize_400x400_jpg,400x291,400x400
Birds/turkey.jpg,Birds/turkey.jpg,normalize_400x400_jpg,400x267,400x400
Birds/vulture.jpg,Birds/vulture.jpg,normalize_400x400_jpg,400x325,400x400
Birds/wagtail.jpg,Birds/wagtail.jpg,normalize_400x400_jpg,400x300,400x400
Birds/white_stork.jpg,Birds/white_stork.jpg,normalize_400x400_jpg,400x400,400x400
Birds/woodpecker.jpg,Birds/woodpecker.jpg,normalize_400x400_jpg,361x400,400x400
Colors/black.jpg,Colors/black.jpg,normalize_400x400_jpg,400x300,400x400
Colors/blue.jpg,Colors/blue.jpg,normalize_400x400_jpg,400x400,400x400
Colors/brown.jpg,Colors/brown.jpg,normalize_400x400_jpg,300x400,400x400
Colors/green.jpg,Colors/green.jpg,normalize_400x400_jpg,400x225,400x400
Colors/grey.jpg,Colors/grey.jpg,normalize_400x400_jpg,400x274,400x400
Colors/orange.jpg,Colors/orange.jpg,normalize_400x400_jpg,400x303,400x400
Colors/pink.jpg,Colors/pink.jpg,normalize_400x400_jpg,350x400,400x400
Colors/purple.jpg,Colors/purple.jpg,normalize_400x400_jpg,313x400,400x400
Colors/red.jpg,Colors/red.jpg,normalize_400x400_jpg,400x266,400x400
Colors/white.jpg,Colors/white.jpg,normalize_400x400_jpg,400x266,400x400
Colors/yellow.jpg,Colors/yellow.jpg,normalize_400x400_jpg,400x267,400x400
Months/April.png,Months/April.png,copy_original_months,1024x1536,1024x1536
Months/August.png,Months/August.png,copy_original_months,1024x1536,1024x1536
Months/December.png,Months/December.png,copy_original_months,1024x1536,1024x1536
Months/February.png,Months/February.png,copy_original_months,1024x1536,1024x1536
Months/January.png,Months/January.png,copy_original_months,1024x1536,1024x1536
Months/July.png,Months/July.png,copy_original_months,1024x1536,1024x1536
Months/June.png,Months/June.png,copy_original_months,1024x1536,1024x1536
Months/March.png,Months/March.png,copy_original_months,1024x1536,1024x1536
Months/May.png,Months/May.png,copy_original_months,1024x1536,1024x1536
Months/November.png,Months/November.png,copy_original_months,1024x1536,1024x1536
Months/October.png,Months/October.png,copy_original_months,1024x1536,1024x1536
Months/September.png,Months/September.png,copy_original_months,1024x1536,1024x1536
Plants/acacia.jpg,Plants/acacia.jpg,normalize_400x400_jpg,261x400,400x400
Plants/alder.jpg,Plants/alder.jpg,normalize_400x400_jpg,300x400,400x400
Plants/ash.jpg,Plants/ash.jpg,normalize_400x400_jpg,331x400,400x400
Plants/bamboo.jpg,Plants/bamboo.jpg,normalize_400x400_jpg,300x400,400x400
Plants/basil.jpg,Plants/basil.jpg,normalize_400x400_jpg,400x267,400x400
Plants/beech.jpg,Plants/beech.jpg,normalize_400x400_jpg,267x400,400x400
Plants/birch.jpg,Plants/birch.jpg,normalize_400x400_jpg,299x400,400x400
