item_id,OKRUH,CZ,FR,IT,ES,EN,LATIN
1,Číslovky,Čtrnáct,Quatorze,Quattordici,Catorce,Fourteen,
2,Číslovky,Čtyři,Quatre,Quattro,Cuatro,Four,
3,Číslovky,Čtyřicet,Quarante,Quaranta,Cuarenta,Forty,
4,Číslovky,Deset,Dix,Dieci,Diez,Ten,
5,Číslovky,Devadesát,Quatre-vingt-dix,Novanta,Noventa,Ninety,
6,Číslovky,Devatenáct,Dix-neuf,Diciannove,Diez y nueve,Nineteen,
7,Číslovky,Devět,Neuf,Nove,Nueve,Nine,
8,Číslovky,Dva,Deux,Due,Dos,Two,
9,Číslovky,Dvacet,Vingt,Venti,Veinte,Twenty,
10,Číslovky,Dvanáct,Douze,Dodici,Doce,Twelve,
11,Číslovky,Dvě,Deux,Due,Dos,Two,
12,Číslovky,Jeden milion,Un million,Un milione,Un millón,One million,
13,Číslovky,Jedenáct,Onze,Undici,Once,Eleven,
14,Číslovky,Jedna,Un,Uno,Uno,One,
15,Číslovky,Milion,Million,Milione,Millón,Million,
16,Číslovky,Osm,Huit,Otto,Ocho,Eight,
17,Číslovky,Osmdesát,Quatre-vingts,Ottanta,Ochenta,Eighty,
18,Číslovky,Osmnáct,Dix-huit,Diciotto,Diez y ocho,Eighteen,
19,Číslovky,Padesát,Cinquante,Cinquanta,Cincuenta,Fifty,
20,Číslovky,Patnáct,Quinze,Quindici,Quince,Fifteen,
21,Číslovky,Pět,Cinq,Cinque,Cinco,Five,
22,Číslovky,Šedesát,Soixante,Sessanta,Sesenta,Sixty,
23,Číslovky,Sedm,Sept,Sette,Siete,Seven,
24,Číslovky,Sedmdesát,Soixante-dix,Settanta,Setenta,Seventy,
25,Číslovky,Sedmnáct,Dix-sept,Diciassette,Diez y siete,Seventeen,
26,Číslovky,Šest,Six,Sei,Seis,Six,
27,Číslovky,Šestnáct,Seize,Sedici,Diez y seis,Sixteen,
28,Číslovky,Sto,Cent,Cento,Cien,Hundred,
29,Číslovky,Tisíc,Mille,Mille,Mil,Thousand,
30,Číslovky,Tři,Trois,Tre,Tres,Three,
31,Číslovky,Třicet,Trente,Trenta,Treinta,Thirty,
32,Číslovky,Třináct,Treize,Tredici,Trece,Thirteen,
33,Dny v týdnu,Čtvrtek,Jeudi,Giovedì,Jueves,Thursday,
34,Dny v týdnu,Neděle,Dimanche,Domenica,Domingo,Sunday,
35,Dny v týdnu,Pátek,Vendredi,Venerdì,Viernes,Friday,
36,Dny v týdnu,Pondělí,Lundi,Lunedì,Lunes,Monday,
37,Dny v týdnu,Sobota,Samedi,Sabato,Sábado,Saturday,
38,Dny v týdnu,Středa,Mercredi,Mercoledì,Miércoles,Wednesday,
39,Dny v týdnu,Úterý,Mardi,Martedì,Martes,Tuesday,
40,Měsíce v roce,Březen,Mars,Marzo,Marzo,March,
41,Měsíce v roce,Červen,Juin,Giugno,Junio,June,
42,Měsíce v roce,Červenec,Juillet,Luglio,Julio,July,
43,Měsíce v roce,Duben,Avril,Aprile,Abril,April,
44,Měsíce v roce,Květen,Mai,Maggio,Mayo,May,
45,Měsíce v roce,Leden,Janvier,Gennaio,Enero,January,
46,Měsíce v roce,Listopad,Novembre,Novembre,Noviembre,November,
47,Měsíce v roce,Prosinec,Décembre,Dicembre,Diciembre,December,
48,Měsíce v roce,Říjen,Octobre,Ottobre,Octubre,October,
49,Měsíce v roce,Srpen,Août,Agosto,Agosto,August,
50,Měsíce v roce,Únor,Février,Febbraio,Febrero,February,
51,Měsíce v roce,Září,Septembre,Settembre,Septiembre,September,
52,Ptáci,Bažant,Faisan,Fagiano,Faisán,Pheasant,
53,Ptáci,Čáp,Cigogne,Cicogna,Cigüeña,Stork,
54,Ptáci,Čáp bílý,Cigogne blanche,Cicogna bianca,Cigüeña blanca,White stork,
55,Ptáci,Čížek,Chardonneret,Cardellino,Jilguero,Goldfinch,
56,Ptáci,Datel,Pic vert,Picchio,Pájaro carpintero,Woodpecker,
57,Ptáci,Drozd,Grive,Tordo,Zorzal,Thrush,
58,Ptáci,Havran,Corbeau,Corvo,Cuervo,Raven,
59,Ptáci,Holub,Pigeon,Piccione,Paloma,Pigeon,
60,Ptáci,Husa,Oie,Oca,Ganso,Goose,
61,Ptáci,Jestřáb,Épervier,Sparviero,Gavilán,Hawk,
62,Ptáci,Kachna,Canard,Anatra,Pato,Duck,
63,Ptáci,Káně,Buse,Poiana,Busardo,Buzzard,
