Pronoun;Verb;Adverbial;Translation
I;am;old;Jsem starý.
you;are;young;Jsi mladý.
he;is;tall;On je vysoký.
she;is;small;Ona je malá.
it;is;blue;To je modré.
we;are;friends;Jsme přátelé.
you;are;nice;Jsou milí.
they;are;at home;Oni jsou doma.
I;have;a dog;Mám psa.
you;have;green eyes;Máš zelené oči.
he;has;two sisters;On má dvě sestry.
she;has;a cat;Ona má kočku.
it;has;black color;To má černou barvu.
we;have;a big house;Máme velký dům.
you;have;a nice garden;Máte hezkou zahradu.
they;have;a red car;Oni mají červené auto.
I;go;home;Jdu domů.
you;go;to school;Jdeš do školy.
he;goes;to the cinema;On jde do kina.
she;goes;to her friend;Ona jde za svou kamarádkou.
it;goes;well;Jde to dobře.
we;go;to you;Jdeme k tobě.
you;go;to the restaurant;Jdete do restaurace.
they;go;to the shop;Oni jdou do obchodu.
