Order,IT,CZ,Sentence,CurrentFallbackStem,Priority,Category,SuggestedExistingStem,Note
73,specchio,zrcadlo,Ogni mattina mi guardo nello specchio e mi pettino i capelli.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
117,brioche,"brioška, sladké pečivo",Prendo una brioche al cioccolato e un caffè.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
138,mese,měsíc,"Ci vediamo tra un mese, d’accordo?",others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
167,treno,vlak,"Il treno parte alle sette, quindi usciamo presto.",others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
174,nemico,nepřítel,Il nemico non dice mai la verita.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
178,permesso,dovolení; svolení,Entro solo con il permesso del professore.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
196,sorpresa,překvapení,Ho una sorpresa per te dopo cena.,proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
206,vino,víno,A cena bevo solo un bicchiere di vino.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
225,giorno,den,Ogni giorno ripeto almeno dieci parole.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
233,minuto,minuta,"Aspetta un minuto, arrivo subito.",proverbs,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
244,camera,pokoj,La mia camera e piccola ma comoda.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
253,settimana,týden,Lavoro cinque giorni alla settimana.,others,A,konkretni_podstatna_jmena,,Hledat konkretni asset nebo vytvorit novy obrazek.
