ES,CZ,Order,Sentence,SentenceT,L
un,jedna,1,En la prueba de hoy veo el número un en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo jedna v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
dos,dvě,2,En el ejercicio de matemáticas aparece el número dos y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo dvě a používáme ho pro výpočet konečného výsledku.,ne
tres,tři,3,"Cuando reviso la tarea en casa, escribo con cuidado el número tres para evitar errores simples.","Když doma kontroluji úkol, píšu číslo tři pečlivě, abych se vyhnul jednoduchým chybám.",ne
cuatro,čtyři,4,El profesor explica que el número cuatro es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo čtyři je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
cinco,pět,5,El profesor explica que el número cinco es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo pět je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
seis,šest,6,"Cuando reviso la tarea en casa, escribo con cuidado el número seis para evitar errores simples.","Když doma kontroluji úkol, píšu číslo šest pečlivě, abych se vyhnul jednoduchým chybám.",ne
siete,sedm,7,"Cuando reviso la tarea en casa, escribo con cuidado el número siete para evitar errores simples.","Když doma kontroluji úkol, píšu číslo sedm pečlivě, abych se vyhnul jednoduchým chybám.",ne
ocho,osm,8,Hoy en clase repetimos el número ocho varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo osm, abychom si ho dobře zapamatovali v ústní části.",ne
nueve,devět,9,"nueve manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím devět jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
diez,deset,10,"diez manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím deset jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
once,jedenáct,11,En el ejercicio de matemáticas aparece el número once y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo jedenáct a používáme ho pro výpočet konečného výsledku.,ne
doce,dvanáct,12,En la prueba de hoy veo el número doce en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo dvanáct v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
trece,třináct,13,En el ejercicio de matemáticas aparece el número trece y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo třináct a používáme ho pro výpočet konečného výsledku.,ne
catorce,čtrnáct,14,"catorce manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím čtrnáct jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
quince,patnáct,15,El profesor explica que el número quince es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo patnáct je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
dieciséis,šestnáct,16,El profesor explica que el número dieciséis es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo šestnáct je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
diecisiete,sedmnáct,17,El profesor explica que el número diecisiete es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo sedmnáct je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
dieciocho,osmnáct,18,En la prueba de hoy veo el número dieciocho en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo osmnáct v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
diecinueve,devatenáct,19,En el ejercicio de matemáticas aparece el número diecinueve y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo devatenáct a používáme ho pro výpočet konečného výsledku.,ne
veinte,dvacet,20,El profesor explica que el número veinte es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo dvacet je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
veinte,dvacátý,21,Hoy en clase repetimos el número veinte varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo dvacátý, abychom si ho dobře zapamatovali v ústní části.",ne
treinta,třicet,22,El profesor explica que el número treinta es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo třicet je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
cuarenta,čtyřicet,23,"cuarenta manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím čtyřicet jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
cincuenta,padesát,24,En el ejercicio de matemáticas aparece el número cincuenta y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo padesát a používáme ho pro výpočet konečného výsledku.,ne
sesenta,šedesát,25,En la prueba de hoy veo el número sesenta en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo šedesát v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
setenta,sedmdesát,26,"setenta manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím sedmdesát jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
ochenta,osmdesát,27,Hoy en clase repetimos el número ochenta varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo osmdesát, abychom si ho dobře zapamatovali v ústní části.",ne
noventa,devadesát,28,Hoy en clase repetimos el número noventa varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo devadesát, abychom si ho dobře zapamatovali v ústní části.",ne
cien,sto,29,"cien manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím sto jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
cien,stoprocentně,30,En el ejercicio de matemáticas aparece el número cien y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo stoprocentně a používáme ho pro výpočet konečného výsledku.,ne
cien,úplně,31,En la prueba de hoy veo el número cien en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo úplně v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
cien,naprosto,32,En la prueba de hoy veo el número cien en varias preguntas y me ayuda reconocerlo rápido.,V dnešním testu vidím číslo naprosto v několika otázkách a pomáhá mi ho rychle rozpoznat.,ne
mil,tisíc,33,El profesor explica que el número mil es clave en este ejemplo y por eso debemos fijarnos bien.,"Učitel vysvětluje, že číslo tisíc je v tomto příkladu klíčové, a proto mu musíme věnovat pozornost.",ne
millón 1000,milión,34,"millón manzanas, por favor, porque hoy quiero preparar una merienda para toda la familia.","Prosím milión jablek, protože dnes chci připravit svačinu pro celou rodinu.",ne
centésimo 0.01,setina,35,En el ejercicio de matemáticas aparece el número centésimo y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo setina a používáme ho pro výpočet konečného výsledku.,ne
centésimo 0.01,stý,36,En el ejercicio de matemáticas aparece el número centésimo y lo usamos para calcular el resultado final.,V matematickém cvičení se objevuje číslo stý a používáme ho pro výpočet konečného výsledku.,ne
décimo 0.1,desetina,37,Hoy en clase repetimos el número décimo varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo desetina, abychom si ho dobře zapamatovali v ústní části.",ne
décimo 0.1,desátý,38,Hoy en clase repetimos el número décimo varias veces para recordarlo bien en la parte oral.,"Dnes ve třídě několikrát opakujeme číslo desátý, abychom si ho dobře zapamatovali v ústní části.",ne
