Order,InfFR,InfCZ
1,être,být
2,avoir,mít
3,faire,"dělat, vyrábět"
4,dire,"říkat, říct"
5,pouvoir,moci
6,aller,"jít, jet"
7,voir,vidět
8,vouloir,chtít
9,venir,"přijít, přijet"
10,devoir,muset; dlužit
11,prendre,"brát, vzít"
12,trouver,"najít, nacházet"
13,donner,"dávat, dát"
14,falloir,"být potřeba, být nutné"
15,parler,mluvit
16,mettre,"dát, položit, umístit"
17,savoir,vědět; umět
18,passer,"procházet, míjet; trávit čas"
19,regarder,"dívat se, sledovat"
20,aimer,"mít rád, milovat"
21,croire,"věřit, domnívat se"
22,demander,ptát se; žádat
23,rester,"zůstat, zůstávat"
24,répondre,"odpovídat, odpovědět"
25,entendre,slyšet
26,penser,myslet
27,arriver,"přijít, přijet, dorazit; stát se"
28,connaître,znát
29,devenir,"stát se, stávat se"
30,sentir,cítit
31,sembler,"zdát se, připadat"
32,tenir,držet
33,comprendre,"rozumět, chápat"
34,rendre,"vrátit, odevzdat; učinit nějakým"
35,attendre,"čekat, očekávat"
36,sortir,"vyjít, vycházet ven"
37,vivre,žít
38,entrer,"vstoupit, vcházet"
39,reprendre,znovu vzít; pokračovat
40,porter,"nést, nosit"
41,chercher,hledat
42,revenir,"vrátit se, přicházet zpět"
43,appeler,"volat, zavolat"
44,mourir,"zemřít, umírat"
45,partir,"odejít, odjet"
46,jeter,"hodit, házet; vyhodit"
47,suivre,"následovat, sledovat"
48,écrire,psát
49,montrer,"ukázat, ukazovat"
50,tomber,"spadnout, padat"
51,ouvrir,"otevřít, otevírat"
52,arrêter,zastavit; přestat
53,perdre,"ztratit, ztrácet; prohrát"
54,commencer,"začít, začínat"
55,paraître,"jevit se, zdát se; vyjít tiskem"
56,marcher,"jít pěšky, chodit; fungovat"
57,lever,"zvednout, zvedat"
58,permettre,"dovolit, umožnit"
59,asseoir,posadit někoho
60,écouter,poslouchat
61,monter,"stoupat, jít nahoru; nastoupit"
62,apercevoir,"zahlédnout, spatřit"
63,recevoir,"dostat, obdržet; přijmout"
64,servir,"sloužit; obsluhovat, podávat"
65,finir,"skončit, dokončit"
66,rire,smát se
67,crier,křičet
68,jouer,"hrát, hrát si"
69,tourner,"otáčet, točit; zahnout"
70,garder,"hlídat; nechat si, uchovat"
71,reconnaître,"poznat, rozpoznat; uznat"
72,quitter,"opustit, odejít od"
73,manger,jíst
74,courir,"běžet, běhat"
75,continuer,pokračovat
76,oublier,"zapomenout, zapomínat"
77,descendre,"sestupovat, jít dolů; vystoupit"
78,cacher,"schovat, skrývat"
79,poser,položit; klást otázku
80,tirer,táhnout; střílet
81,présenter,"představit, předložit"
82,ajouter,"přidat, dodat"
83,agir,"jednat, konat"
84,retrouver,znovu najít; znovu se setkat s
85,offrir,nabídnout; darovat
86,apprendre,učit se; dozvědět se; naučit někoho
87,tuer,"zabít, zabíjet"
88,retourner,vrátit se; obrátit
89,rencontrer,"potkat, setkat se s"
90,envoyer,"poslat, posílat"
91,dormir,spát
92,pousser,tlačit; růst
93,rappeler,připomenout; zavolat znovu
94,lire,číst
95,changer,"změnit, měnit; vyměnit"
96,essayer,"zkusit, zkoušet"
97,compter,počítat
98,occuper,"zabírat, obsadit; zaměstnávat"
99,expliquer,"vysvětlit, vysvětlovat"
100,frapper,"udeřit, bít; klepat"
101,vendre,prodat
102,laisser,nechat
103,rentrer,vrátit se
104,travailler,pracovat
105,boire,pít
106,payer,platit
107,acheter,koupit
