Id,InfFR,Tense,Number,Person,Pronoun,Form,Sentence,SentenceT
v001-01,être,present,S,1,je,suis,Je suis à la maison.,Já jsem doma.
v001-02,être,present,S,1,je,suis,Je suis dans le jardin.,Já jsem na zahradě.
v001-03,être,present,S,1,je,suis,Je suis à l'école.,Já jsem ve škole.
v001-04,être,present,S,2,tu,es,Tu es au parc.,Ty jsi v parku.
v001-05,être,present,S,2,tu,es,Tu es à la gare.,Ty jsi na nádraží.
v001-06,être,present,S,2,tu,es,Tu es au café.,Ty jsi v kavárně.
v001-07,être,present,S,3,il,est,Il est au travail.,On je v práci.
v001-08,être,present,S,3,elle,est,Elle est à la banque.,Ona je v bance.
v001-09,être,present,S,3,il,est,Il est à la plage.,On je na pláži.
v001-10,être,present,P,1,nous,sommes,Nous sommes au cinéma.,My jsme v kině.
v001-11,être,present,P,1,nous,sommes,Nous sommes au marché.,My jsme na trhu.
v001-12,être,present,P,1,nous,sommes,Nous sommes à la piscine.,My jsme na bazénu.
v001-13,être,present,P,2,vous,êtes,Vous êtes à la poste.,Vy jste na poště.
v001-14,être,present,P,2,vous,êtes,Vous êtes au musée.,Vy jste v muzeu.
v001-15,être,present,P,2,vous,êtes,Vous êtes au restaurant.,Vy jste v restauraci.
v001-16,être,present,P,3,ils,sont,Ils sont à l'hôpital.,Oni jsou v nemocnici.
v001-17,être,present,P,3,elles,sont,Elles sont à la boulangerie.,Ony jsou v pekárně.
v001-18,être,present,P,3,ils,sont,Ils sont au zoo.,Oni jsou v zoo.
v002-01,avoir,present,S,1,j',ai,J'ai un chien.,Já mám psa.
v002-02,avoir,present,S,1,j',ai,J'ai un chat.,Já mám kočku.
v002-03,avoir,present,S,1,j',ai,J'ai un vélo.,Já mám kolo.
v002-04,avoir,present,S,2,tu,as,Tu as un livre.,Ty máš knihu.
v002-05,avoir,present,S,2,tu,as,Tu as une voiture.,Ty máš auto.
v002-06,avoir,present,S,2,tu,as,Tu as une maison.,Ty máš dům.
v002-07,avoir,present,S,3,il,a,Il a un frère.,On má bratra.
v002-08,avoir,present,S,3,elle,a,Elle a une sœur.,Ona má sestru.
v002-09,avoir,present,S,3,il,a,Il a un enfant.,On má dítě.
v002-10,avoir,present,P,1,nous,avons,Nous avons du pain.,My máme chleba.
v002-11,avoir,present,P,1,nous,avons,Nous avons de l'eau.,My máme vodu.
v002-12,avoir,present,P,1,nous,avons,Nous avons du lait.,My máme mléko.
v002-13,avoir,present,P,2,vous,avez,Vous avez du temps.,Vy máte čas.
v002-14,avoir,present,P,2,vous,avez,Vous avez une question.,Vy máte otázku.
v002-15,avoir,present,P,2,vous,avez,Vous avez une idée.,Vy máte nápad.
v002-16,avoir,present,P,3,ils,ont,Ils ont faim.,Oni mají hlad.
v002-17,avoir,present,P,3,elles,ont,Elles ont soif.,Ony mají žízeň.
v002-18,avoir,present,P,3,ils,ont,Ils ont peur.,Oni mají strach.
v003-01,faire,present,S,1,je,fais,Je fais un gâteau.,Já dělám dort.
v003-02,faire,present,S,1,je,fais,Je fais du pain.,Já dělám chleba.
v003-03,faire,present,S,1,je,fais,Je fais une soupe.,Já dělám polévku.
v003-04,faire,present,S,2,tu,fais,Tu fais le ménage.,Ty děláš úklid.
v003-05,faire,present,S,2,tu,fais,Tu fais un dessin.,Ty děláš kresbu.
v003-06,faire,present,S,2,tu,fais,Tu fais une liste.,Ty děláš seznam.
v003-07,faire,present,S,3,il,fait,Il fait du café.,On dělá kávu.
v003-08,faire,present,S,3,elle,fait,Elle fait une salade.,Ona dělá salát.
v003-09,faire,present,S,3,il,fait,Il fait une omelette.,On dělá omeletu.
v003-10,faire,present,P,1,nous,faisons,Nous faisons une pause.,My děláme přestávku.
v003-11,faire,present,P,1,nous,faisons,Nous faisons un exercice.,My děláme cvičení.
v003-12,faire,present,P,1,nous,faisons,Nous faisons un sandwich.,My děláme sendvič.
v003-13,faire,present,P,2,vous,faites,Vous faites un repas.,Vy děláte jídlo.
v003-14,faire,present,P,2,vous,faites,Vous faites une tarte.,Vy děláte koláč.
v003-15,faire,present,P,2,vous,faites,Vous faites des crêpes.,Vy děláte palačinky.
v003-16,faire,present,P,3,ils,font,Ils font du thé.,Oni dělají čaj.
v003-17,faire,present,P,3,elles,font,Elles font une affiche.,Ony dělají plakát.
v003-18,faire,present,P,3,ils,font,Ils font une erreur.,Oni dělají chybu.
v004-01,dire,present,S,1,je,dis,Je dis bonjour.,Já říkám dobrý den.
v004-02,dire,present,S,1,je,dis,Je dis merci.,Já říkám děkuji.
v004-03,dire,present,S,1,je,dis,Je dis au revoir.,Já říkám na shledanou.
v004-04,dire,present,S,2,tu,dis,Tu dis oui.,Ty říkáš ano.
v004-05,dire,present,S,2,tu,dis,Tu dis non.,Ty říkáš ne.
v004-06,dire,present,S,2,tu,dis,Tu dis la vérité.,Ty říkáš pravdu.
v004-07,dire,present,S,3,il,dit,Il dit quelques mots.,On říká několik slov.
v004-08,dire,present,S,3,elle,dit,Elle dit une phrase.,Ona říká větu.
v004-09,dire,present,S,3,il,dit,Il dit un mot gentil.,On říká milé slovo.
v004-10,dire,present,P,1,nous,disons,Nous disons bonjour.,My říkáme dobrý den.
v004-11,dire,present,P,1,nous,disons,Nous disons merci.,My říkáme děkuji.
v004-12,dire,present,P,1,nous,disons,Nous disons au revoir.,My říkáme na shledanou.
v004-13,dire,present,P,2,vous,dites,Vous dites oui.,Vy říkáte ano.
v004-14,dire,present,P,2,vous,dites,Vous dites non.,Vy říkáte ne.
v004-15,dire,present,P,2,vous,dites,Vous dites la vérité.,Vy říkáte pravdu.
v004-16,dire,present,P,3,ils,disent,Ils disent quelques mots.,Oni říkají několik slov.
v004-17,dire,present,P,3,elles,disent,Elles disent une phrase.,Ony říkají větu.
v004-18,dire,present,P,3,ils,disent,Ils disent un mot gentil.,Oni říkají milé slovo.
v005-01,pouvoir,present,S,1,je,peux,Je peux venir ce soir.,Já můžu přijít dnes večer.
v005-02,pouvoir,present,S,1,je,peux,Je peux ouvrir la porte.,Já můžu otevřít dveře.
v005-03,pouvoir,present,S,1,je,peux,Je peux fermer la fenêtre.,Já můžu zavřít okno.
v005-04,pouvoir,present,S,2,tu,peux,Tu peux attendre ici.,Ty můžeš počkat tady.
v005-05,pouvoir,present,S,2,tu,peux,Tu peux rester à la maison.,Ty můžeš zůstat doma.
v005-06,pouvoir,present,S,2,tu,peux,Tu peux prendre le bus.,Ty můžeš jet autobusem.
v005-07,pouvoir,present,S,3,il,peut,Il peut lire ce livre.,On může číst tuto knihu.
v005-08,pouvoir,present,S,3,elle,peut,Elle peut parler français.,Ona může mluvit francouzsky.
v005-09,pouvoir,present,S,3,il,peut,Il peut écrire une lettre.,On může napsat dopis.
v005-10,pouvoir,present,P,1,nous,pouvons,Nous pouvons aider un ami.,My můžeme pomoci kamarádovi.
v005-11,pouvoir,present,P,1,nous,pouvons,Nous pouvons jouer dehors.,My můžeme hrát si venku.
v005-12,pouvoir,present,P,1,nous,pouvons,Nous pouvons entrer maintenant.,My můžeme vstoupit teď.
v005-13,pouvoir,present,P,2,vous,pouvez,Vous pouvez acheter du pain.,Vy můžete koupit chleba.
v005-14,pouvoir,present,P,2,vous,pouvez,Vous pouvez marcher un peu.,Vy můžete trochu se projít.
v005-15,pouvoir,present,P,2,vous,pouvez,Vous pouvez boire de l'eau.,Vy můžete napít se vody.
v005-16,pouvoir,present,P,3,ils,peuvent,Ils peuvent écouter la radio.,Oni můžou poslouchat rádio.
v005-17,pouvoir,present,P,3,elles,peuvent,Elles peuvent travailler ici.,Ony můžou pracovat tady.
v005-18,pouvoir,present,P,3,ils,peuvent,Ils peuvent partir ensemble.,Oni můžou odejít společně.
v006-01,aller,present,S,1,je,vais,Je vais à l'école.,Já jdu do školy.
v006-02,aller,present,S,1,je,vais,Je vais au parc.,Já jdu do parku.
v006-03,aller,present,S,1,je,vais,Je vais à la gare.,Já jdu na nádraží.
v006-04,aller,present,S,2,tu,vas,Tu vas au magasin.,Ty jdeš do obchodu.
v006-05,aller,present,S,2,tu,vas,Tu vas au café.,Ty jdeš do kavárny.
v006-06,aller,present,S,2,tu,vas,Tu vas à la plage.,Ty jdeš na pláž.
v006-07,aller,present,S,3,il,va,Il va chez lui.,On jde k sobě domů.
v006-08,aller,present,S,3,elle,va,Elle va au travail.,Ona jde do práce.
v006-09,aller,present,S,3,il,va,Il va au restaurant.,On jde do restaurace.
v006-10,aller,present,P,1,nous,allons,Nous allons au cinéma.,My jdeme do kina.
v006-11,aller,present,P,1,nous,allons,Nous allons au marché.,My jdeme na trh.
v006-12,aller,present,P,1,nous,allons,Nous allons à la piscine.,My jdeme na bazén.
v006-13,aller,present,P,2,vous,allez,Vous allez à la banque.,Vy jdete do banky.
