FR,CZ,Order,Sentence,SentenceT,L,HT
assiette,talíř,1,Je range toujours l'assiette dans le lave-vaisselle.,Po rodinné večeři vždy uklidím talíř do myčky.,ne,ano
sur,na,2,J'ai laissé mes clés sur la table près de la fenêtre.,Nechal jsem klíče na stole u okna.,ne,ne
sur,o (na téma),3,Je lis un article sur l'intelligence artificielle.,Čtu článek o umělé inteligenci.,ne,ne
là-bas,tam / tamhle,4,"Regarde là-bas, on voit les montagnes derrière la vieille gare aujourd'hui.","Podívej tamhle, za starým nádražím jsou dnes vidět hory.",ne,ne
gâteau,dort,5,"Pour son anniversaire, nous avons préparé un gâteau chocolat et fraises maison.",K narozeninám jsme doma připravili čokoládový dort s jahodami.,ne,ano
gâteau,koláč,6,"Le dimanche matin, ma grand-mère prépare un gâteau aux pommes délicieux.",V neděli ráno babička peče výborný jablečný koláč.,ne,ne
trop,příliš / moc,7,"Tu travailles trop ces jours-ci, repose-toi vraiment un peu ce week-end.","Teď moc pracuješ, o víkendu si opravdu trochu odpočiň.",ne,ne
fort,silný,8,"Aujourd'hui, le vent souffle fort sur la côte, les bateaux restent au port.","Dnes na pobřeží silně fouká, lodě zůstávají v přístavu.",ne,ne
fort,hlasitě (nahlas),9,"Dans cette salle, parle doucement pour que chacun reste bien concentré.","V této místnosti mluv tiše, aby se každý dobře soustředil.",ne,ne
chapeau,klobouk,10,"En été, je porte un chapeau clair contre le soleil brûlant.",V létě nosím světlý klobouk proti pálícímu slunci.,ne,ano
copine,kamarádka,11,"Ma copine d'université vit à Lyon, mais nous parlons chaque semaine.","Moje kamarádka z univerzity žije v Lyonu, ale mluvíme spolu týdně.",ne,ne
copine,přítelkyně,12,"Ma copine adore le train, nous partons souvent en escapade ensemble.","Moje přítelkyně miluje vlak, často spolu vyrážíme na výlety.",ano,ne
chanter,zpívat,13,J'aime chanter en voiture pendant les longs trajets du soir.,Rád zpívám v autě během dlouhých večerních cest.,ne,ne
portefeuille,peněženka,14,"J'ai oublié mon portefeuille, je paie donc avec mon téléphone aujourd'hui.","Zapomněl jsem peněženku, takže dnes platím telefonem.",ne,ano
portefeuille,portfolio (soubor investic),15,"Avant de modifier mon portefeuille, j'évalue risques et rendements sur cinq ans.","Než upravím portfolio, hodnotím rizika a výnosy za pět let.",ne,ne
enchanté,těší mě,16,"Enchanté de vous rencontrer enfin, on m'a parlé de votre travail.","Těší mě, že vás konečně poznávám, o vaší práci jsem slyšel.",ne,ne
Je m'appelle,jmenuji se,17,Je m'appelle Lucie et je travaille dans une petite librairie du centre-ville.,Jmenuji se Lucie a pracuji v malém knihkupectví v centru města.,ne,ne
Ça va?,Jak se máš?,18,"Salut Marie, ça va aujourd'hui après ton long voyage en train ?","Ahoj Marie, máš se dnes dobře po své dlouhé cestě vlakem?",ne,ne
Je viens,Pocházím,19,Je viens de Paris. Il vient de Paris.,Pocházím z paříže. On pochází z Paříže.,ne,ne
Et toi?,A ty?,20,"Moi, je vais bien, et toi, comment s'est passée ta journée ?","Já se mám dobře, a ty, jaký byl tvůj den?",ne,ne
