Typ,Navrh,Cisla,Score,Suma,Low31,ShodyPosledniTah
1. tah,1,8 12 22 25 39 48,101000000.0,154,4,1
1. tah,2,6 23 26 34 38 39,108.0,166,3,0
1. tah,3,21 22 23 32 36 49,2110.0,183,3,0
1. tah,4,2 3 24 30 32 33,101000000.0,124,4,0
1. tah,5,6 8 10 22 36 46,101000000.0,128,4,0
1. tah,METRIKY,,,,unique=22,avg_ov=0.90;max_ov=2
2. tah,1,6 17 34 35 45 46,101000000.0,183,2,0
2. tah,2,5 7 29 33 38 45,101.0,157,3,0
2. tah,3,4 8 11 17 40 49,101000000.0,129,4,1
2. tah,4,4 5 19 33 46 49,1000113.0,156,3,1
2. tah,5,4 8 11 12 32 47,101000000.0,114,4,1
2. tah,METRIKY,,,,unique=20,avg_ov=1.10;max_ov=3
