EN,CZ,Sentence,SentenceT
a,neurčitý člen,I can see a cat.,Vidím kočku.
about,o,Tell me about your dog.,Pověz mi o svém psovi.
across,přes; na druhou stranu,We walk across the bridge.,Jdeme přes most.
adventure,dobrodružství,Our adventure starts in the forest.,Naše dobrodružství začíná v lese.
all,všichni; všechno,All my friends are here.,Všichni moji kamarádi jsou tady.
and,a,I have a book and a pencil.,Mám knihu a tužku.
at,u; v,We meet at the gate.,Sejdeme se u branky.
be,být,I want to be your friend.,Chci být tvůj kamarád.
beautiful,krásný,The garden is beautiful.,Zahrada je krásná.
birthday,narozeniny,Today is my birthday.,Dnes mám narozeniny.
brave,statečný,The brave dog helps his friends.,Statečný pes pomáhá svým kamarádům.
bridge,most,The bridge goes across the river.,Most vede přes řeku.
brown,hnědý,The bear is brown.,Medvěd je hnědý.
cheer,povzbuzovat; jásat,We cheer for our friend.,Povzbuzujeme našeho kamaráda.
color,barva,What color is your bag?,Jakou barvu má tvoje taška?
continue,pokračovat,We can continue our journey.,Můžeme pokračovat v cestě.
cross,přejít; překročit,We cross the bridge together.,Společně přejdeme most.
dance,tancovat,We dance at the party.,Tancujeme na oslavě.
day,den,Today is a happy day.,Dnes je šťastný den.
do,dělat,What do you want to do?,Co chceš dělat?
dream,sen,I had a dream about a rabbit.,Zdál se mi sen o králíkovi.
eleven,jedenáct,There are eleven pencils in the box.,V krabici je jedenáct tužek.
else,jiný; další,Ask someone else for help.,Požádej o pomoc někoho jiného.
energy,energie,I have lots of energy today.,Dnes mám hodně energie.
excellent,výborný,That is an excellent answer.,To je výborná odpověď.
finish,dokončit,We finish the lesson together.,Společně dokončíme lekci.
first,první; nejdříve,I will go first.,Půjdu první.
for,pro,This apple is for you.,Tohle jablko je pro tebe.
from,z; od,The rabbit comes from the forest.,Králík přichází z lesa.
full,plný,The basket is full of apples.,Košík je plný jablek.
give,dát,Please give me the book.,Prosím dej mi tu knihu.
gone,pryč,The old bridge is gone.,Starý most je pryč.
great,skvělý,You have a great idea.,Máš skvělý nápad.
guard,hlídat; strážce,The dog can guard the gate.,Pes může hlídat branku.
happiness,štěstí; radost,I wish you happiness.,Přeji ti štěstí.
have,mít,I have a small bag.,Mám malou tašku.
he,on,He is my friend.,On je můj kamarád.
health,zdraví,I wish you good health.,Přeji ti hodně zdraví.
heavy,těžký,My bag is too heavy.,Moje taška je příliš těžká.
her,ji; jí; její,I can help her.,Mohu jí pomoci.
here,tady; sem,Your book is here.,Tvoje kniha je tady.
hi,ahoj,"Hi, I am your new friend.","Ahoj, jsem tvůj nový kamarád."
him,ho; mu,Give him the map.,Dej mu tu mapu.
inside,uvnitř; dovnitř,Look inside the box.,Podívej se dovnitř krabice.
it,ono; to,It is a small rabbit.,Je to malý králík.
job,práce; úkol,You did a good job.,Odvedl jsi dobrou práci.
joy,radost,Your smile brings me joy.,Tvůj úsměv mi přináší radost.
know,vědět; znát,I know the way to the lake.,Znám cestu k jezeru.
laugh,smát se,We laugh at the funny story.,Smějeme se legračnímu příběhu.
laughter,smích,The room is full of laughter.,Místnost je plná smíchu.
lesson,lekce; vyučovací hodina,Our English lesson starts now.,Naše hodina angličtiny začíná právě teď.
let,nechat; dovolit,Please let me help you.,"Prosím dovol mi, abych ti pomohl."
listen,poslouchat,Listen to the bird.,Poslouchej ptáka.
little,malý,A little rabbit sits under the tree.,Malý králík sedí pod stromem.
log,kláda,We put a log across the stream.,Položíme kládu přes potok.
lots of,hodně,There are lots of flowers here.,Je tady hodně květin.
lovely,půvabný; krásný,We have a lovely garden.,Máme krásnou zahradu.
many,mnoho,There are many birds in the tree.,Na stromě je mnoho ptáků.
me,mě; mně,Please help me.,Prosím pomoz mi.
more,více; další,I have one more question.,Mám ještě jednu otázku.
my,můj,This is my book.,Tohle je moje kniha.
need,potřebovat,We need some water.,Potřebujeme trochu vody.
nice,hezký; milý,Have a nice day.,Přeji ti hezký den.
nine,devět,I can see nine stars.,Vidím devět hvězd.
no,ne,"No, I do not want any milk.","Ne, nechci žádné mléko."
not,ne; zápor,The bag is not heavy.,Taška není těžká.
now,teď,We can go now.,Teď můžeme jít.
of,z,One of the apples is green.,Jedno z jablek je zelené.
on,na,The book is on the table.,Kniha je na stole.
only,jen; pouze,I have only one pencil.,Mám jen jednu tužku.
open,otevřený; otevřít,Please open the door.,Prosím otevři dveře.
or,nebo,Do you want an apple or a banana?,"Chceš jablko, nebo banán?"
party,oslava; večírek,We have a birthday party today.,Dnes máme narozeninovou oslavu.
reason,důvod,Tell me the reason.,Řekni mi důvod.
remember,pamatovat si,Do you remember my name?,Pamatuješ si moje jméno?
safe,bezpečný,The bridge is safe.,Most je bezpečný.
safely,bezpečně,We cross the road safely.,Bezpečně přejdeme silnici.
save,zachránit,We can save the little bird.,Můžeme zachránit malého ptáčka.
school,škola,I walk to school with my friend.,Chodím do školy s kamarádem.
second,sekunda; druhý,"Wait a second, please.",Počkej prosím chvilku.
smile,usmívat se; úsměv,I smile when I see my friends.,"Usmívám se, když vidím své kamarády."
so,tak; tak moc,I am so happy today.,Dnes jsem tak šťastný.
some,nějaký; trochu,Please give me some water.,Prosím dej mi trochu vody.
someone,někdo,Someone is at the door.,Někdo je u dveří.
special,zvláštní; výjimečný,Today is a special day.,Dnes je výjimečný den.
stay,zůstat,Please stay here with me.,Prosím zůstaň tady se mnou.
step,krok,Take one small step.,Udělej jeden malý krok.
stop,zastavit; přestat,Stop at the gate.,Zastav se u branky.
stream,potok,A small stream flows through the forest.,Lesem protéká malý potok.
strong,silný; pevný,The bridge is strong.,Most je pevný.
tap,klepnout,Tap the picture of the rabbit.,Klepni na obrázek králíka.
ten,deset,There are ten apples in the basket.,V košíku je deset jablek.
that,tamten; že,That house is big.,Tamten dům je velký.
the,určitý člen,The cat is under the table.,Ta kočka je pod stolem.
there,tam,My friend is over there.,Můj kamarád je tamhle.
this,tento; tohle,This is my new bag.,Tohle je moje nová taška.
through,skrz; přes,We walk through the forest.,Jdeme lesem.
to,do; k,We go to the lake.,Jdeme k jezeru.
today,dnes,Today we visit our friends.,Dnes navštívíme své kamarády.
true,pravdivý; skutečný,Your dream can come true.,Tvůj sen se může splnit.
