CZ,FR,IT,ES,EN
Pondělí,Lundi,Lunedì,Lunes,Monday
Úterý,Mardi,Martedì,Martes,Tuesday
Středa,Mercredi,Mercoledì,Miércoles,Wednesday
Čtvrtek,Jeudi,Giovedì,Jueves,Thursday
Pátek,Vendredi,Venerdì,Viernes,Friday
Sobota,Samedi,Sabato,Sábado,Saturday
Neděle,Dimanche,Domenica,Domingo,Sunday
Leden,Janvier,Gennaio,Enero,January
Únor,Février,Febbraio,Febrero,February
Březen,Mars,Marzo,Marzo,March
Duben,Avril,Aprile,Abril,April
Květen,Mai,Maggio,Mayo,May
Červen,Juin,Giugno,Junio,June
Červenec,Juillet,Luglio,Julio,July
Srpen,Août,Agosto,Agosto,August
Září,Septembre,Settembre,Septiembre,September
Říjen,Octobre,Ottobre,Octubre,October
Listopad,Novembre,Novembre,Noviembre,November
Prosinec,Décembre,Dicembre,Diciembre,December
Bílá,Blanc,Bianco,Blanco,White
Černá,Noir,Nero,Negro,Black
Červená,Rouge,Rosso,Rojo,Red
Modrá,Bleu,Blu,Azul,Blue
Žlutá,Jaune,Giallo,Amarillo,Yellow
Zelená,Vert,Verde,Verde,Green
Oranžová,Orange,Arancione,Naranja,Orange
Hnědá,Marron,Marrone,Marrón,Brown
Šedá,Gris,Grigio,Gris,Grey
Růžová,Rose,Rosa,Rosa,Pink
Jedna,Un,Uno,Uno,One
Dva,Deux,Due,Dos,Two
Tři,Trois,Tre,Tres,Three
Čtyři,Quatre,Quattro,Cuatro,Four
Pět,Cinq,Cinque,Cinco,Five
Šest,Six,Sei,Seis,Six
Sedm,Sept,Sette,Siete,Seven
Osm,Huit,Otto,Ocho,Eight
Devět,Neuf,Nove,Nueve,Nine
Deset,Dix,Dieci,Diez,Ten
Jedenáct,Onze,Undici,Once,Eleven
Dvanáct,Douze,Dodici,Doce,Twelve
Třináct,Treize,Tredici,Trece,Thirteen
Čtrnáct,Quatorze,Quattordici,Catorce,Fourteen
Patnáct,Quinze,Quindici,Quince,Fifteen
Šestnáct,Seize,Sedici,Diez y seis,Sixteen
Sedmnáct,Dix-sept,Diciassette,Diez y siete,Seventeen
Osmnáct,Dix-huit,Diciotto,Diez y ocho,Eighteen
Devatenáct,Dix-neuf,Diciannove,Diez y nueve,Nineteen
Dvacet,Vingt,Venti,Veinte,Twenty
Třicet,Trente,Trenta,Treinta,Thirty
Čtyřicet,Quarante,Quaranta,Cuarenta,Forty
Padesát,Cinquante,Cinquanta,Cincuenta,Fifty
Šedesát,Soixante,Sessanta,Sesenta,Sixty
Sedmdesát,Soixante-dix,Settanta,Setenta,Seventy
Osmdesát,Quatre-vingts,Ottanta,Ochenta,Eighty
Devadesát,Quatre-vingt-dix,Novanta,Noventa,Ninety
Sto,Cent,Cento,Cien,Hundred
Tisíc,Mille,Mille,Mil,Thousand
Milion,Million,Milione,Millón,Million
Pes,Chien,Cane,Perro,Dog
Kočka,Chat,Gatto,Gato,Cat
