IT,CZ,CurrentWrongStem,Problem,TargetScene,Sentence
cartolina,pohlednice,card,Pohlednice neni platebni karta,Ilustrovana pohlednice z Rima se znamkou a kratkym psanim,Ti mando una cartolina da Roma.
finestra,okno,house,Okno neni dum,Otevrene okno s oblohou nebo zavesem,La finestra è aperta.
asciugamano,ručník,bathroom,Rucnik neni cela koupelna,Cisty slozeny rucnik na vesaku nebo drzeny v ruce,Ecco un asciugamano pulito.
camera,pokoj,home,Pokoj neni cely dum,Utuĺny pokoj nebo loznice s posteli a oknem,La mia camera e piccola ma comoda.
vulcano,sopka,hot,Sopka neni horky napoj nebo abstraktni teplo,Sopka ve stylu Etny s kraterem a kouřem,L'Etna è un vulcano.
foto,"fotka, fotografie",film,Fotka neni filmovy pasek,Vytištena fotografie nebo nekdo drzi fotku mesta,Guardo la foto di Roma.
radio,"rádio, rozhlas",hear,Radio neni jen usi nebo sluch,Stolni radio s antenou a reproduktorem,Ascolto la radio ogni mattina.
specchio,zrcadlo,miror,Zrcadlo potrebuje vlastni scenu,Nastenne nebo koupelnove zrcadlo s odrazem,Ogni mattina mi guardo nello specchio e mi pettino i capelli.
treno,vlak,ticket,Vlak neni jizdenka,Osobni vlak na nadrazi nebo na kolejich,Il treno parte alle sette, quindi usciamo presto.
stazione,"nádraží, stanice",busstation,Nadrazi neni autobusova stanice,Budova nadrazi nebo peron s kolejemi,La stazione è vicino, ci andiamo a piedi.
viaggio,cesta,ticket,Cesta neni listek,Kufr a trasa nebo scena cestovani vlakem,Il viaggio in treno è lungo.
volo,let,airport,Let neni letiste,Letadlo ve vzduchu nebo odletova scena,C'è un volo per Milano adesso?
vacanza,"dovolená, prázdniny",park,Dovolena neni park,Letni dovolenkova scena s kufrem a morem,Dove andate in vacanza quest'anno?
nave,loď,water,Lod neni jen voda,Osobni lod nebo trajekt na vode,Ci vado con la nave.
albergo,hotel,home,Hotel neni dum,Hotelova budova s vchodem a recepcnim charakterem,Dormiamo in un albergo vicino alla stazione.
