M,Order,InfIT,InfCZ,Ind1,Ind2,Ind3,IndP1,IndP2,IndP3,FS1,FS2,FS3,FSP1,FSP2,FSP3,Imp1,Imp2,Imp3,ImpP1,ImpP2,ImpP3
ne,1,andare,jít / jet,io vado,tu vai,lui/lei va,noi andiamo,voi andate,loro vanno,io andrò,tu andrai,lui/lei andrà,noi andremo,voi andrete,loro andranno,io andavo,tu andavi,lui/lei andava,noi andavamo,voi andavate,loro andavano
ne,2,lavorare,pracovat,io lavoro,tu lavori,lui/lei lavora,noi lavoriamo,voi lavorate,loro lavorano,io lavorerò,tu lavorerai,lui/lei lavorerà,noi lavoreremo,voi lavorerete,loro lavoreranno,io lavoravo,tu lavoravi,lui/lei lavorava,noi lavoravamo,voi lavoravate,loro lavoravano
ne,3,studiare,studovat,io studio,tu studi,lui/lei studia,noi studiamo,voi studiate,loro studiano,io studierò,tu studierai,lui/lei studierà,noi studieremo,voi studierete,loro studieranno,io studiavo,tu studiavi,lui/lei studiava,noi studiavamo,voi studiavate,loro studiavano
ne,4,cercare,hledat,io cerco,tu cerchi,lui/lei cerca,noi cerchiamo,voi cercate,loro cercano,io cercherò,tu cercherai,lui/lei cercherà,noi cercheremo,voi cercherete,loro cercheranno,io cercavo,tu cercavi,lui/lei cercava,noi cercavamo,voi cercavate,loro cercavano
ne,5,pagare,platit,io pago,tu paghi,lui/lei paga,noi paghiamo,voi pagate,loro pagano,io pagherò,tu pagherai,lui/lei pagherà,noi pagheremo,voi pagherete,loro pagheranno,io pagavo,tu pagavi,lui/lei pagava,noi pagavamo,voi pagavate,loro pagavano
ne,6,abitare,bydlet,io abito,tu abiti,lui/lei abita,noi abitiamo,voi abitate,loro abitano,io abiterò,tu abiterai,lui/lei abiterà,noi abiteremo,voi abiterete,loro abiteranno,io abitavo,tu abitavi,lui/lei abitava,noi abitavamo,voi abitavate,loro abitavano
ne,7,essere,být,io sono,tu sei,lui/lei è,noi siamo,voi siete,loro sono,io sarò,tu sarai,lui/lei sarà,noi saremo,voi sarete,loro saranno,io ero,tu eri,lui/lei era,noi eravamo,voi eravate,loro erano
ne,8,vendere,prodat,io vendo,tu vendi,lui/lei vende,noi vendiamo,voi vendete,loro vendono,io venderò,tu venderai,lui/lei venderà,noi venderemo,voi venderete,loro venderanno,io vendevo,tu vendevi,lui/lei vendeva,noi vendevamo,voi vendevate,loro vendevano
ne,9,vincere,vyhrát,io vinco,tu vinci,lui/lei vince,noi vinciamo,voi vincete,loro vincono,io vincerò,tu vincerai,lui/lei vincerà,noi vinceremo,voi vincerete,loro vinceranno,io vincevo,tu vincevi,lui/lei vinceva,noi vincevamo,voi vincevate,loro vincevano
ne,10,leggere,číst,io leggo,tu leggi,lui/lei legge,noi leggiamo,voi leggete,loro leggono,io leggerò,tu leggerai,lui/lei leggerà,noi leggeremo,voi leggerete,loro leggeranno,io leggevo,tu leggevi,lui/lei leggeva,noi leggevamo,voi leggevate,loro leggevano
ne,11,conoscere,znát,io conosco,tu conosci,lui/lei conosce,noi conosciamo,voi conoscete,loro conoscono,io conoscerò,tu conoscerai,lui/lei conoscerà,noi conosceremo,voi conoscerete,loro conosceranno,io conoscevo,tu conoscevi,lui/lei conosceva,noi conoscevamo,voi conoscevate,loro conoscevano
