IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
piatto,talíř,1,Metto il piatto nella lavastoviglie.,Dávám talíř do myčky.,ne,ano,m
su,na,2,Le chiavi sono su questo tavolo.,Klíče jsou na tomto stole.,ne,ne,
su,o,3,Leggo un libro su Roma.,Čtu knihu o Římě.,ne,ne,
laggiù,tam,4,"Guarda laggiù, c'è il mare.","Podívej se tamhle, je tam moře.",ne,ano,
torta,"dort, koláč",5,Per il compleanno facciamo una torta.,K narozeninám děláme dort.,ne,ne,f
troppo,příliš / moc,6,Parli troppo in classe.,Mluvíš ve třídě příliš moc.,ne,ne,
forte,"silný, hlasitě (nahlas)",7,Oggi c'è un vento forte. Non parlare forte qui.,Dnes je silný vítr. Tady nemluv nahlas.,ne,ne,
cappello,klobouk,8,In estate porto un cappello.,V létě nosím klobouk.,ne,ne,m
amica,kamarádka,9,La mia amica vive a Milano.,Moje kamarádka žije v Miláně.,ano,ne,f
fidanzata,přítelkyně,10,La mia fidanzata ama viaggiare.,Moje přítelkyně ráda cestuje.,ne,ano,f
cantare,zpívat,11,Mi piace cantare in macchina.,Rád zpívám v autě.,ne,ne,
portafoglio,peněženka,12,Il mio portafoglio è a casa.,Moje peněženka je doma.,ne,ne,m
portafoglio,portfolio (soubor investic),13,Controllo il mio portafoglio ogni mese.,Každý měsíc kontroluji své portfolio.,ne,ne,m
mi chiamo,jmenuji se,14,Mi chiamo Anna.,Jmenuji se Anna.,ne,ne,
Come stai? Come va?,Jak se máš?,15,"Ciao, come stai?","Ahoj, jak se máš?",ne,ne,
vengo,pocházím,16,Vengo da Praga.,Pocházím z Prahy.,ne,ne,
E tu?,A ty?,17,Io sto bene. E tu?,Já se mám dobře. A ty?,ne,ne,
piacere,těší mě,18,Piacere di conoscerti.,"Těší mě, že tě poznávám.",ne,ne,
a presto,brzy na viděnou,19,"A presto, ci vediamo domani.","Brzy na viděnou, uvidíme se zítra.",ne,ano,
arrivederci,na shledanou,20,Arrivederci e buona giornata.,Na shledanou a hezký den.,ne,ne,
vorrei,chtěl bych,21,"Vorrei un caffè, per favore.","Chtěl bych kávu, prosím.",ne,ne,
per favore,prosím,22,"Parla piano, per favore.","Mluv pomalu, prosím.",ne,ne,
sì,ano,23,"Sì, capisco.","Ano, rozumím.",ne,ne,
io,já,24,Io studio italiano ogni giorno.,Já studuji italštinu každý den.,ne,ne,
anche,také,25,Anche mio fratello studia.,Také můj bratr studuje.,ne,ne,
perfetto,skvěle,26,"Perfetto, andiamo adesso.","Skvěle, jdeme teď.",ne,ne,
o,nebo,27,Mangiamo a casa o fuori?,Jíme doma nebo venku?,ne,ne,
e,a,28,Compro pane e latte.,Kupuji chleba a mléko.,ne,ne,
dove,kde,29,Dove abiti?,Kde bydlíš?,ne,ano,
di dove,odkud,30,Di dove sei?,Odkud jsi?,ne,ano,
bene,dobře,31,Oggi sto bene.,Dnes se mám dobře.,ne,ne,
ho,mám,32,Ho due lezioni oggi.,Dnes mám dvě lekce.,ne,ne,
abita,bydlí,33,Lui abita a Roma.,On bydlí v Římě.,ne,ne,
