date,part_a,part_b,part_c,full_text
2026-05-28,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1961 v Londýně vznikla myšlenka organizace Amnesty International, která chrání lidská práva?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1961 v Londýně vznikla myšlenka organizace Amnesty International, která chrání lidská práva? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-05-29,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1953 novozélandský horolezec Edmund Hillary a Tenzing Norgay vystoupili na Mount Everest v britské expedici?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1953 novozélandský horolezec Edmund Hillary a Tenzing Norgay vystoupili na Mount Everest v britské expedici? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-05-30,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1911 se v americkém Indianapolis jela první slavná automobilová soutěž Indianapolis 500?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1911 se v americkém Indianapolis jela první slavná automobilová soutěž Indianapolis 500? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-05-31,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1859 začal v Londýně pracovat hodinový stroj ve věži u britského parlamentu, kterou známe díky Big Benu?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1859 začal v Londýně pracovat hodinový stroj ve věži u britského parlamentu, kterou známe díky Big Benu? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-01,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1980 začala ve Spojených státech vysílat televize CNN, první stanice se zprávami po celý den?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů. Speciální vzkaz pro Katku - Katko jste hodná, že se staráte o zdraví asistenta adoufám, že se ty pucle kostičky seženou. Jani ty brýle vám opravdu sluší...","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1980 začala ve Spojených státech vysílat televize CNN, první stanice se zprávami po celý den? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů. Speciální vzkaz pro Katku - Katko jste hodná, že se staráte o zdraví asistenta adoufám, že se ty pucle kostičky seženou. Jani ty brýle vám opravdu sluší..."
2026-06-02,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1953 byla ve Westminster Abbey v Londýně korunována královna Alžběta druhá?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1953 byla ve Westminster Abbey v Londýně korunována královna Alžběta druhá? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-03,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1965 se Ed White stal prvním Američanem, který vystoupil do volného vesmíru?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1965 se Ed White stal prvním Američanem, který vystoupil do volného vesmíru? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-04,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1917 byly ve Spojených státech poprvé uděleny Pulitzerovy ceny za noviny, knihy a hudbu?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1917 byly ve Spojených státech poprvé uděleny Pulitzerovy ceny za noviny, knihy a hudbu? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-05,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1975 lidé ve Spojeném království hlasovali v prvním celostátním referendu své země?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1975 lidé ve Spojeném království hlasovali v prvním celostátním referendu své země? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-06,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1946 vznikla v Americe basketbalová liga BAA, ze které později vyrostla NBA?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1946 vznikla v Americe basketbalová liga BAA, ze které později vyrostla NBA? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-07,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1776 navrhl Richard Henry Lee, aby se americké kolonie staly nezávislými státy?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů. Katko, Jano, Markéto kéž máte krásnou neděli. Pan učitel má nechopenku a pozdravuje Vás.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1776 navrhl Richard Henry Lee, aby se americké kolonie staly nezávislými státy? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů. Katko, Jano, Markéto kéž máte krásnou neděli. Pan učitel má nechopenku a pozdravuje Vás."
2026-06-08,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1949 vyšla v Londýně slavná kniha George Orwella Devatenáct set osmdesát čtyři?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1949 vyšla v Londýně slavná kniha George Orwella Devatenáct set osmdesát čtyři? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-09,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1934 se v americkém kresleném filmu poprvé objevil Kačer Donald?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1934 se v americkém kresleném filmu poprvé objevil Kačer Donald? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-10,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1752 Benjamin Franklin ve Filadelfii zkoumal elektřinu pomocí draka ve vzduchu?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1752 Benjamin Franklin ve Filadelfii zkoumal elektřinu pomocí draka ve vzduchu? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-11,"Milé studentky, krásný den. Váš učitel je stále nemocný a bere antibiotika. Moc Vás pozdravuje a těší se až Vás zase uvidí. Hůhůhů.","","","Milé studentky, krásný den. Váš učitel je stále nemocný a bere antibiotika. Moc Vás pozdravuje a těší se až Vás zase uvidí. Hůhůhů."
2026-06-12,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1967 Nejvyšší soud Spojených států rozhodl v případu Loving versus Virginia o právu lidí uzavřít sňatek bez ohledu na barvu pleti?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1967 Nejvyšší soud Spojených států rozhodl v případu Loving versus Virginia o právu lidí uzavřít sňatek bez ohledu na barvu pleti? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-13,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1966 Nejvyšší soud Spojených států vydal rozhodnutí Miranda versus Arizona o právech obviněných lidí?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1966 Nejvyšší soud Spojených států vydal rozhodnutí Miranda versus Arizona o právech obviněných lidí? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-14,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1777 přijaly Spojené státy svou vlajku s hvězdami a pruhy?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1777 přijaly Spojené státy svou vlajku s hvězdami a pruhy? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-15,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1215 byla v Anglii potvrzena Magna Charta, důležitá listina o právech a zákonech?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1215 byla v Anglii potvrzena Magna Charta, důležitá listina o právech a zákonech? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-16,"Dobré ráno studentky, přeji krásný úspěšný den a hodně energie na studium jazyka anglického. Pan učitel vás zdraví z Itálie, města Bibione a už je skoro zdravý. Dnes prý pojede na lodi a bude pozorovat dalekohledem ptáky. Tak zatím. Hůhůhů.","","","Dobré ráno studentky, přeji krásný úspěšný den a hodně energie na studium jazyka anglického. Pan učitel vás zdraví z Itálie, města Bibione a už je skoro zdravý. Dnes prý pojede na lodi a bude pozorovat dalekohledem ptáky. Tak zatím. Hůhůhů."
2026-06-17,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1885 dorazila do newyorského přístavu Socha svobody jako dar z Francie?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1885 dorazila do newyorského přístavu Socha svobody jako dar z Francie? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-18,"Dobrý den děvčata. Pan učitel vás opět zdraví z Bibione v severní Itálii. Mám vyřídit, že tam  horko, voda v moři už je teplá. Pan učitel se těší až se uvidíte příští týden. Také já moudrá sova Vás zdravím. Hůhůhů.","","","Dobrý den děvčata. Pan učitel vás opět zdraví z Bibione v severní Itálii. Mám vyřídit, že tam  horko, voda v moři už je teplá. Pan učitel se těší až se uvidíte příští týden. Také já moudrá sova Vás zdravím. Hůhůhů."
2026-06-19,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1865 byla v texaském Galvestonu oznámena svoboda posledním zotročeným lidem v USA?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1865 byla v texaském Galvestonu oznámena svoboda posledním zotročeným lidem v USA? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-20,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1975 měl v amerických kinech premiéru film Čelisti, který změnil letní filmovou sezónu?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1975 měl v amerických kinech premiéru film Čelisti, který změnil letní filmovou sezónu? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-21,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1788 se New Hampshire stal devátým státem, který schválil Ústavu Spojených států?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1788 se New Hampshire stal devátým státem, který schválil Ústavu Spojených států? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-22,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1675 král Karel druhý založil v Londýně Královskou observatoř v Greenwichi?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1675 král Karel druhý založil v Londýně Královskou observatoř v Greenwichi? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-23,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1868 získal americký vynálezce Christopher Sholes patent na psací stroj?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1868 získal americký vynálezce Christopher Sholes patent na psací stroj? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-24,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1497 doplul mořeplavec John Cabot k pobřeží Severní Ameriky ve službách Anglie?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1497 doplul mořeplavec John Cabot k pobřeží Severní Ameriky ve službách Anglie? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-25,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1967 sledovali lidé první celosvětový televizní přenos Our World, ve kterém zazněla píseň All You Need Is Love?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1967 sledovali lidé první celosvětový televizní přenos Our World, ve kterém zazněla píseň All You Need Is Love? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-26,"Dobrý den Janičko, prý padáte, tak snad jste v pořádku. Markétko prý jste byla včera na angličtině moc šikovná. Katko vy jste si včera úžasně užila bazén jak jsem slyšel. To je dobře. A toho vysokého tepu se nebojte. To bude v pořádku. Přeji hezký den bez kolapsů. Držte se. Hůhůhů.","","","Dobrý den Janičko, prý padáte, tak snad jste v pořádku. Markétko prý jste byla včera na angličtině moc šikovná. Katko vy jste si včera úžasně užila bazén jak jsem slyšel. To je dobře. A toho vysokého tepu se nebojte. To bude v pořádku. Přeji hezký den bez kolapsů. Držte se. Hůhůhů."
2026-06-27,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1922 byla ve Spojených státech poprvé udělena Newberyho medaile za dětskou knihu?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1922 byla ve Spojených státech poprvé udělena Newberyho medaile za dětskou knihu? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-28,"Jako, Katko, Markéto. Kdybych měl klobouk, musel bych ho smeknout. Hodina angličtiny v takovém vedru!!! Přeji Vám ať dnešek zvládnete ve zdraví a Katko nic si z tlaku a tepu nedělejte, to ta vedra. Od zítřka se to bude lepšit.","","","Jako, Katko, Markéto. Kdybych měl klobouk, musel bych ho smeknout. Hodina angličtiny v takovém vedru!!! Přeji Vám ať dnešek zvládnete ve zdraví a Katko nic si z tlaku a tepu nedělejte, to ta vedra. Od zítřka se to bude lepšit."
2026-06-29,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 2007 se ve Spojených státech začal prodávat první iPhone?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 2007 se ve Spojených státech začal prodávat první iPhone? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-06-30,"Dobrý den, studentky, jak se dnes máte? Věděly jste, že","v roce 1937 bylo v Londýně zavedeno první tísňové telefonní číslo 999?","Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů.","Dobrý den, studentky, jak se dnes máte? Věděly jste, že v roce 1937 bylo v Londýně zavedeno první tísňové telefonní číslo 999? Přeji vám krásný den a hodně úspěchů ve studiu angličtiny. Hůhůhů."
2026-07-02,"Jano, Katko, Markéto! Tak konečně přišlo ochlazení. Žádné padání, žádný tep a tlak... Není to super!!! Přeji krásný den. Hůhůhů.","","","Jano, Katko, Markéto! Tak konečně přišlo ochlazení. Žádné padání, žádný tep a tlak... Není to super!!! Přeji krásný den. Hůhůhů."
2026-07-03,"Dobrý den, děvčata. Tak včera jste prý úspěšně absolvovaly požární poplach, tak vám gratuluji. U nás v lese, když hoří, tak nám nikdo nepomáhá a každý letí, běží, plazí se, co mu síly stačí. Doufám, že dnešní angličtina se vám bude líbit. Hůhůhů.","","","Dobrý den, děvčata. Tak včera jste prý úspěšně absolvovaly požární poplach, tak vám gratuluji. U nás v lese, když hoří, tak nám nikdo nepomáhá a každý letí, běží, plazí se, co mu síly stačí. Doufám, že dnešní angličtina se vám bude líbit. Hůhůhů."
2026-07-05,"Je neděle 5. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů.","","","Je neděle 5. července a Katka, Jana a Markétka stále pilně studují angličtinu, alespoň pokud vím. Pilné studentky, přeji krásný den. Hůhůhů."
