OKRUH,CZ,FR,IT,ES,EN
Dny v týdnu,Pondělí,Lundi,Lunedì,Lunes,Monday
Dny v týdnu,Úterý,Mardi,Martedì,Martes,Tuesday
Dny v týdnu,Středa,Mercredi,Mercoledì,Miércoles,Wednesday
Dny v týdnu,Čtvrtek,Jeudi,Giovedì,Jueves,Thursday
Dny v týdnu,Pátek,Vendredi,Venerdì,Viernes,Friday
Dny v týdnu,Sobota,Samedi,Sabato,Sábado,Saturday
Dny v týdnu,Neděle,Dimanche,Domenica,Domingo,Sunday
Měsíce v roce,Leden,Janvier,Gennaio,Enero,January
Měsíce v roce,Únor,Février,Febbraio,Febrero,February
Měsíce v roce,Březen,Mars,Marzo,Marzo,March
Měsíce v roce,Duben,Avril,Aprile,Abril,April
Měsíce v roce,Květen,Mai,Maggio,Mayo,May
Měsíce v roce,Červen,Juin,Giugno,Junio,June
Měsíce v roce,Červenec,Juillet,Luglio,Julio,July
Měsíce v roce,Srpen,Août,Agosto,Agosto,August
Měsíce v roce,Září,Septembre,Settembre,Septiembre,September
Měsíce v roce,Říjen,Octobre,Ottobre,Octubre,October
Měsíce v roce,Listopad,Novembre,Novembre,Noviembre,November
Měsíce v roce,Prosinec,Décembre,Dicembre,Diciembre,December
Základní barvy,Červená,Rouge,Rosso,Rojo,Red
Základní barvy,Modrá,Bleu,Blu,Azul,Blue
Základní barvy,Žlutá,Jaune,Giallo,Amarillo,Yellow
Základní barvy,Zelená,Vert,Verde,Verde,Green
Základní barvy,Oranžová,Orange,Arancione,Naranja,Orange
Základní barvy,Fialová,Violet,Viola,Morado,Purple
Základní barvy,Růžová,Rose,Rosa,Rosa,Pink
Základní barvy,Hnědá,Marron,Marrone,Marrón,Brown
Základní barvy,Černá,Noir,Nero,Negro,Black
Základní barvy,Bílá,Blanc,Bianco,Blanco,White
Číslovky,Jedna,Un,Uno,Uno,One
Číslovky,Dva,Deux,Due,Dos,Two
Číslovky,Tři,Trois,Tre,Tres,Three
Číslovky,Čtyři,Quatre,Quattro,Cuatro,Four
Číslovky,Pět,Cinq,Cinque,Cinco,Five
Číslovky,Šest,Six,Sei,Seis,Six
Číslovky,Sedm,Sept,Sette,Siete,Seven
Číslovky,Osm,Huit,Otto,Ocho,Eight
Číslovky,Devět,Neuf,Nove,Nueve,Nine
Číslovky,Deset,Dix,Dieci,Diez,Ten
Číslovky,Jedenáct,Onze,Undici,Once,Eleven
Číslovky,Dvanáct,Douze,Dodici,Doce,Twelve
Číslovky,Třináct,Treize,Tredici,Trece,Thirteen
Číslovky,Čtrnáct,Quatorze,Quattordici,Catorce,Fourteen
Číslovky,Patnáct,Quinze,Quindici,Quince,Fifteen
Číslovky,Šestnáct,Seize,Sedici,Dieciséis,Sixteen
Číslovky,Sedmnáct,Dix-sept,Diciassette,Diecisiete,Seventeen
Číslovky,Osmnáct,Dix-huit,Diciotto,Dieciocho,Eighteen
Číslovky,Devatenáct,Dix-neuf,Diciannove,Diecinueve,Nineteen
Číslovky,Dvacet,Vingt,Venti,Veinte,Twenty
Číslovky,Třicet,Trente,Trenta,Treinta,Thirty
Číslovky,Čtyřicet,Quarante,Quaranta,Cuarenta,Forty
Číslovky,Padesát,Cinquante,Cinquanta,Cincuenta,Fifty
Číslovky,Šedesát,Soixante,Sessanta,Sesenta,Sixty
Číslovky,Sedmdesát,Soixante-dix,Settanta,Setenta,Seventy
Číslovky,Osmdesát,Quatre-vingts,Ottanta,Ochenta,Eighty
Číslovky,Devadesát,Quatre-vingt-dix,Novanta,Noventa,Ninety
Číslovky,Sto,Cent,Cento,Cien,Hundred
Číslovky,Tisíc,Mille,Mille,Mil,Thousand
Číslovky,Milion,Million,Milione,Millón,Million
Zvířata,Pes,Chien,Cane,Perro,Dog
Zvířata,Kočka,Chat,Gatto,Gato,Cat
Zvířata,Kůň,Cheval,Cavallo,Caballo,Horse
Zvířata,Kráva,Vache,Mucca,Vaca,Cow
Zvířata,Prase,Cochon,Maiale,Cerdo,Pig
Zvířata,Ovce,Mouton,Pecora,Oveja,Sheep
Zvířata,Koza,Chèvre,Capra,Cabra,Goat
Zvířata,Slepice,Poule,Gallina,Gallina,Hen
Zvířata,Králík,Lapin,Coniglio,Conejo,Rabbit
Zvířata,Lev,Lion,Leone,León,Lion
Zvířata,Tygr,Tigre,Tigre,Tigre,Tiger
Zvířata,Slon,Éléphant,Elefante,Elefante,Elephant
Zvířata,Žirafa,Girafe,Giraffa,Jirafa,Giraffe
Zvířata,Opice,Singe,Scimmia,Mono,Monkey
Zvířata,Medvěd,Ours,Orso,Oso,Bear
Zvířata,Vlk,Loup,Lupo,Lobo,Wolf
Zvířata,Liška,Renard,Volpe,Zorro,Fox
Zvířata,Jelen,Cerf,Cervo,Ciervo,Deer
Zvířata,Zajíc,Lièvre,Lepre,Liebre,Hare
Zvířata,Veverka,Écureuil,Scoiattolo,Ardilla,Squirrel
Zvířata,Had,Serpent,Serpente,Serpiente,Snake
Zvířata,Žába,Grenouille,Rana,Rana,Frog
Zvířata,Ryba,Poisson,Pesce,Pez,Fish
Zvířata,Delfín,Dauphin,Delfino,Delfín,Dolphin
Zvířata,Velryba,Baleine,Balena,Ballena,Whale
Zvířata,Žralok,Requin,Squalo,Tiburón,Shark
Zvířata,Krokodýl,Crocodile,Coccodrillo,Cocodrilo,Crocodile
