ES,CZ,Order,Sentence,SentenceT,L
un,jedna,1,"Necesito un vaso de agua, por favor.","Prosím, potřebuji sklenici vody.",ne
dos,dvě,2,"Es dos, ni más ni menos.","Je to dvě, ani víc, ani míň.",ne
tres,tři,3,Hoy digo: tres.,Dnes říkám: tři.,ne
cuatro,čtyři,4,En la lista está el número cuatro.,V seznamu je číslo čtyři.,ne
cinco,pět,5,El número es cinco.,Číslo je pět.,ne
seis,šest,6,"Es seis, ni más ni menos.","Je to šest, ani víc, ani míň.",ne
siete,sedm,7,Hoy digo: siete.,Dnes říkám: sedm.,ne
ocho,osm,8,En la lista está el número ocho.,V seznamu je číslo osm.,ne
nueve,devět,9,El número es nueve.,Číslo je devět.,ne
diez,deset,10,"Es diez, ni más ni menos.","Je to deset, ani víc, ani míň.",ne
once,jedenáct,11,Hoy digo: once.,Dnes říkám: jedenáct.,ne
doce,dvanáct,12,En la lista está el número doce.,V seznamu je číslo dvanáct.,ne
trece,třináct,13,El número es trece.,Číslo je třináct.,ne
catorce,čtrnáct,14,"Es catorce, ni más ni menos.","Je to čtrnáct, ani víc, ani míň.",ne
quince,patnáct,15,Hoy digo: quince.,Dnes říkám: patnáct.,ne
dieciséis,šestnáct,16,En la lista está el número dieciséis.,V seznamu je číslo šestnáct.,ne
diecisiete,sedmnáct,17,El número es diecisiete.,Číslo je sedmnáct.,ne
dieciocho,osmnáct,18,"Es dieciocho, ni más ni menos.","Je to osmnáct, ani víc, ani míň.",ne
diecinueve,devatenáct,19,Hoy digo: diecinueve.,Dnes říkám: devatenáct.,ne
veinte,dvacet,20,En la lista está el número veinte.,V seznamu je číslo dvacet.,ne
veinte,dvacátý,21,El número es veinte.,Číslo je dvacátý.,ne
treinta,třicet,22,"Es treinta, ni más ni menos.","Je to třicet, ani víc, ani míň.",ne
cuarenta,čtyřicet,23,Hoy digo: cuarenta.,Dnes říkám: čtyřicet.,ne
cincuenta,padesát,24,En la lista está el número cincuenta.,V seznamu je číslo padesát.,ne
sesenta,šedesát,25,El número es sesenta.,Číslo je šedesát.,ne
setenta,sedmdesát,26,"Es setenta, ni más ni menos.","Je to sedmdesát, ani víc, ani míň.",ne
ochenta,osmdesát,27,Hoy digo: ochenta.,Dnes říkám: osmdesát.,ne
noventa,devadesát,28,En la lista está el número noventa.,V seznamu je číslo devadesát.,ne
cien,sto,29,El número es cien.,Číslo je sto.,ne
cien,stoprocentně,30,"Es cien, ni más ni menos.","Je to stoprocentně, ani víc, ani míň.",ne
cien,úplně,31,Hoy digo: cien.,Dnes říkám: úplně.,ne
cien,naprosto,32,En la lista está el número cien.,V seznamu je číslo naprosto.,ne
mil,tisíc,33,El número es mil.,Číslo je tisíc.,ne
millón 1000,milión,34,"Es millón 1000, ni más ni menos.","Je to milión, ani víc, ani míň.",ne
centésimo 0.01,setina,35,Hoy digo: centésimo 0.01.,Dnes říkám: setina.,ne
centésimo 0.01,stý,36,En la lista está el número centésimo 0.01.,V seznamu je číslo stý.,ne
décimo 0.1,desetina,37,El número es décimo 0.1.,Číslo je desetina.,ne
décimo 0.1,desátý,38,"Es décimo 0.1, ni más ni menos.","Je to desátý, ani víc, ani míň.",ne
quinto 1 / 5,pětina,39,Hoy digo: quinto 1.,Dnes říkám: pětina.,ne
cuarto 1 / 4,čtvrtina,40,En la lista está el número cuarto 1.,V seznamu je číslo čtvrtina.,ne
cuarto 1 / 4,čtvrtý,41,El número es cuarto 1.,Číslo je čtvrtý.,ne
