Otázka;Kladná odpověď;Záporná odpověď
Is he happy?;Yes, he is.;No, he isn't.
Am I eight years old?;Yes, you are.;No, you're not.
Are they friends?;Yes, they are.;No, they aren't.
Are they tired?;Yes, they are.;No, they aren't.
Are you at home now?;Yes, I am.;No, I'm not.
Are you at home?;Yes, I am.;No, I'm not.
Is my mom nice?;Yes, she is.;No, she isn't.
Are we good students?;Yes, we are.;No, we aren't.
Are you happy students?;Yes, we are.;No, we aren't.
Is your brother tall?;Yes, he is.;No, he isn't.
Are they good students?;Yes, they are.;No, they aren't.
Is your teacher nice?;Yes, he is.;No, he isn't.
Are they at school?;Yes, they are.;No, they aren't.
Are they in the city now?;Yes, they are.;No, they're not.
Is he your brother?;Yes, he is.;No, he isn't.
Is she your friend?;Yes, she is.;No, she isn't.
Is the sky grey?;Yes, it is.;No, it isn't.
Are they in Prague?;Yes, they are.;No, they aren't.
Are you tired now?;Yes, I am.;No, I'm not.
Is he at home?;Yes, he is.;No, he isn't.
Is she at school?;Yes, she is.;No, she isn't.
Am I your friend?;Yes, you are.;No, you aren't.
Are we in Prague?;Yes, we are.;No, we aren't.
Is it black?;Yes, it is.;No, it isn't.
Are you at school now?;Yes, I am.;No, I'm not.
Are they in the garden?;Yes, they are.;No, they aren't.
Is she at home?;Yes, she is.;No, she isn't.
Are they in the garden now?;Yes, they are.;No, they aren't.
Is he tired?;Yes, he is.;No, he isn't.
Is she your sister?;Yes, she is.;No, she isn't.
Is her bag black?;Yes, it is.;No, it isn't.
Are you in the garden today?;Yes, I am.;No, I'm not.
Is it blue?;Yes, it is.;No, it's not.
Is he in the garden?;Yes, he is.;No, he isn't.
Are you a good student?;Yes, I am.;No, I'm not.
Are we at school?;Yes, we are.;No, we aren't.
Is the cat white?;Yes, it is.;No, it isn't.
Are they at school today?;Yes, they are.;No, they aren't.
Are you in the city?;Yes, I am.;No, I'm not.
Are we tired?;Yes, we are.;No, we aren't.
Are they in Prague today?;Yes, they are.;No, they aren't.
Are my eyes green?;Yes, they are.;No, they aren't.
Is she in the city?;Yes, she is.;No, she's not.
Is it yellow?;Yes, it is.;No, it isn't.
Is the sun yellow?;Yes, it is.;No, it isn't.
Are the men tall?;Yes, they are.;No, they aren't.
Is your teacher in the class?;Yes, he is.;No, he's not.
Is it at home?;Yes, it is.;No, it isn't.
Is your mom at home?;Yes, she is.;No, she isn't.
Are you in Prague now?;Yes, I am.;No, I'm not.
Is she tired?;Yes, she is.;No, she's not.
Am I happy?;Yes, you are.;No, you aren't.
Is he at school?;Yes, he is.;No, he isn't.
Are we at home?;Yes, we are.;No, we aren't.
Are you in the garden?;Yes, I am.;No, I'm not.
Is the sky blue?;Yes, it is.;No, it isn't.
Are they in the city?;Yes, they are.;No, they're not.
Is the window open?;Yes, it is.;No, it isn't.
Is he your friend?;Yes, he is.;No, he isn't.
Are we friends?;Yes, we are.;No, we aren't.
Are you at school?;Yes, I am.;No, I'm not.
Is the dog black?;Yes, it is.;No, it's not.
Is your sister small?;Yes, she is.;No, she isn't.
Are they happy?;Yes, they are.;No, they aren't.
Is he in the city?;Yes, he is.;No, he isn't.
Am I in the garden?;Yes, you are.;No, you aren't.
Is she small?;Yes, she is.;No, she isn't.
Is she seven years old?;Yes, she is.;No, she's not.
Are you in the city today?;Yes, I am.;No, I'm not.
Is it green?;Yes, it is.;No, it isn't.
Is the cake good?;Yes, it is.;No, it's not.
Are you tired?;Yes, I am.;No, I'm not.
Is his father a teacher?;Yes, he is.;No, he's not.
Are you my friend?;Yes, I am.;No, I'm not.
Are we in the city now?;Yes, we are.;No, we aren't.
Is it red?;Yes, it is.;No, it isn't.
Is the radio on?;Yes, it is.;No, it isn't.
Is the dog in the garden?;Yes, it is.;No, it isn't.
Is her dress pink?;Yes, it is.;No, it isn't.
Are we happy?;Yes, we are.;No, we aren't.
Am I at home?;Yes, you are.;No, you aren't.
Is it pink?;Yes, it is.;No, it's not.
Are you good students?;Yes, we are.;No, we aren't.
Am I a good student?;Yes, you are.;No, you aren't.
Is the cat in the garden?;Yes, it is.;No, it isn't.
Are we ten years old?;Yes, we are.;No, we're not.
Are you ten years old?;Yes, I am.;No, I'm not.
Are they old?;Yes, they are.;No, they aren't.
Are you students?;Yes, we are.;No, we aren't.
Is he five years old?;Yes, he is.;No, he isn't.
Is Prague a big city?;Yes, it is.;No, it isn't.
