EN,CZ,Order,Sentence,SentenceT,WS,L,HT
a glass (of water),sklenice (vody),1,I drink a glass of water when I wake up.,"Když se probudím, vypiji sklenici vody.",Food,ne,ne
airport,letiště,2,"The airport was busy, so we came early.","Letiště bylo plné lidí, tak jsme přijeli brzy.",,ne,ne
animal,zvíře,3,The little animal hides behind the tree.,To malé zvíře se schovává za stromem.,Animals,ano,ne
baby elephant,slůně,4,The baby elephant splashes water and looks happy.,Slůně cáká vodu a vypadá spokojeně.,Animals,ne,ne
bag,taška,5,I put my phone in my bag and close it.,Dám si telefon do tašky a zavřu ji.,Things,ne,ano
big,velký,6,"This house is big, but it feels warm inside.","Tenhle dům je velký, ale uvnitř je útulno.",,ano,ne
bike,kolo,7,I ride my bike to the park on sunny days.,Za slunečných dní jedu na kole do parku.,Things,ano,ne
bird,pták,8,A small bird sings on the window in the morning.,Ráno zpívá na okně malý pták.,Animals,ano,ne
black,černý,9,He wears a black jacket in the winter.,V zimě nosí černou bundu.,Colors,ano,ne
blue,modrý,10,The sky is blue after the rain.,Po dešti je nebe modré.,Colors,ano,ne
book,kniha,11,"This book is short, but I like it a lot.","Ta kniha je krátká, ale moc se mi líbí.",Things,ano,ano
box,krabice,12,Please put the cups back into the box.,Prosím dej hrnky zpátky do krabice.,Things,ne,ano
breakfast,snídaně,13,For breakfast I usually have bread and tea.,K snídani si obvykle dám chleba a čaj.,Food,ne,ano
British,britský,14,My neighbor is British and speaks very politely.,Můj soused je Brit a mluví velmi zdvořile.,,ne,ne
brother,bratr,15,My brother calls me every Sunday evening.,Můj bratr mi volá každou neděli večer.,Family,ano,ne
burger,hamburger,16,We share one burger and laugh about the day.,Dáme si jeden burger na půl a smějeme se tomu dni.,Food,ne,ano
bus station,autobusové nádraží,17,Let’s meet at the bus station near the clock.,Sejdeme se na autobusovém nádraží u hodin.,,ne,ne
bye,ahoj (na rozloučenou),18,"It’s late, so I say bye and go home.","Je pozdě, tak řeknu ahoj a jdu domů.",Greetings,ano,ne
can,mohu,19,Can I have this book?,Mohu mít tuto knihu? (podívat se na ní),,ne,ne
cat,kočka,20,The cat sleeps on the chair all afternoon.,Kočka spí celé odpoledne na židli.,Animals,ano,ne
cinema,kino,21,We go to the cinema and buy popcorn.,Jdeme do kina a koupíme si popcorn.,,ne,ano
coffee,káva,22,"I make coffee, and the kitchen smells great.",Uvařím kávu a v kuchyni je krásná vůně.,Food,ano,ano
cook,vařit,23,I like to cook simple food for my family.,Rád vařím jednoduché jídlo pro svou rodinu.,Actions,ne,ne
cow,kráva,24,A cow stands in the field and watches us.,Na louce stojí kráva a dívá se na nás.,Animals,ano,ne
crocodile,krokodýl,25,"In the picture, the crocodile has a huge mouth.",Na obrázku má krokodýl obrovskou tlamu.,Animals,ne,ne
dark,tmavý,26,"The room is dark, so I turn on the light.","V pokoji je tma, tak rozsvítím.",Colors,ne,ne
dog,pes,27,The dog waits by the door for a walk.,Pes čeká u dveří na procházku.,Animals,ano,ne
doctor,lékař,28,The doctor listens carefully and speaks calmly.,Doktor pozorně poslouchá a mluví klidně.,,ano,ne
document,dokument,29,Please sign this document at the bottom.,Prosím podepiš tento dokument dole.,Things,ne,ne
drink,"nápoj, pít",30,"When I feel tired, I drink a little water.","Když jsem unavený, napiju se trochu vody.",Actions,ano,ano
drawing,kreslení,31,Your drawing is funny and very clear.,Tvá kresba je vtipná a moc povedená.,Actions,ano,ne
duck,kachna,32,A duck swims slowly across the pond.,Kachna pomalu plave přes rybník.,Animals,ano,ne
elephant,slon,33,The elephant lifts its trunk and greets the kids.,Slon zvedne chobot a jako by zdravil děti.,Animals,ano,ne
English,angličtina,34,I read an English story before I sleep.,Před spaním čtu anglický příběh.,,ano,ne
excuse me,promiňte,35,"Excuse me, is this seat free?","Promiňte, je tohle místo volné?",Greetings,ano,ano
eyes,oči,36,Her eyes are tired after a long day.,Po dlouhém dni má unavené oči.,,ne,ne
fair,světlý (o vlasech),37,He has fair hair and a friendly smile.,Má světlé vlasy a přátelský úsměv.,Colors,ne,ne
family,rodina,38,My family eats together on weekends.,O víkendu moje rodina jí společně.,Family,ano,ano
father,otec,39,My father tells me a short story every time we meet.,Můj otec mi vždy při setkání vypráví krátký příběh.,Family,ano,ano
field,pole,40,"In the field, the grass moves in the wind.",Na poli se tráva hýbe ve větru.,,ne,ne
film,film,41,"This film is quiet, but it stays in my mind.","Ten film je klidný, ale zůstane mi v hlavě.",,ano,ano
fish,ryba,42,"The fish jumps, and the water makes circles.",Ryba vyskočí a na vodě udělá kruhy.,Animals,ano,ano
food,jídlo,43,"The food is hot, so I wait a moment.","Jídlo je horké, tak chvilku počkám.",,ne,ano
free,volný; zdarma,44,Are you free this evening for a short walk?,Máš dnes večer čas na krátkou procházku?,,ne,ne
friend,kamarád,45,A good friend helps without asking for anything.,"Dobrý přítel pomůže, aniž by něco chtěl.",,ano,ano
garden,zahrada,46,I have a big garden.,Mám velkou zahradu.,,ano,ano
giraffe,žirafa,47,The giraffe reaches the leaves at the top.,Žirafa dosáhne na listy úplně nahoře.,Animals,ano,ne
goat,koza,48,The goat eats calmly and looks curious.,Koza klidně jí a vypadá zvědavě.,Animals,ano,ne
go,jít,49,"I go to the store, then I come back quickly.",Jdu do obchodu a pak se rychle vrátím.,Actions,ano,ano
good,dobrý,50,That was a good idea—thank you!,To byl dobrý nápad—děkuju!,,ano,ano
goodbye,nashledanou,51,We wave and say goodbye at the gate.,Zamáváme si a rozloučíme se u brány.,Greetings,ano,ano
green,zelený,52,The green tree looks fresh after the rain.,Zelený strom vypadá po dešti svěže.,Colors,ano,ano
grey,šedý,53,"On a grey day, a warm tea helps.",V šedivý den pomůže teplý čaj.,Colors,ano,ano
hair,vlasy,54,My hair gets messy in the wind.,Ve větru se mi rozcuchají vlasy.,,ne,ne
happy,šťastný,55,I feel happy when the sun comes out.,"Jsem šťastný, když vyjde slunce.",,ano,ne
hear,slyšet,56,Can you hear the birds outside?,Slyšíš venku ptáky?,Actions,ano,ne
hello,"ahoj, dobrý den",57,Hello! How was your day?,Ahoj! Jaký jsi měl den?,Greetings,ano,ne
help,pomoc,58,"Thank you for your help;"" I really needed it.","Děkuju za pomoc, opravdu jsem ji potřeboval.",,ano,ano
home,domov,59,"After work, I go home and rest for a while.",Po práci jdu domů a chvíli si odpočinu.,,ano,ano
horse,kůň,60,The horse runs fast and then stops quietly.,Kůň rychle běží a pak tiše zastaví.,Animals,ano,ne
house,dům,61,"Our house is small, but we love it.","Náš dům je malý, ale máme ho rádi.",,ano,ano
I (am),já (jsem),62,I (am) ready now—let’s start.,Už jsem připravený—pojďme začít.,,ano,ne
in,v,63,The keys are in my pocket.,Klíče jsou v mé kapse.,,ne,ne
jump,skákat,64,The child can jump over the small puddle.,Dítě umí přeskočit malou louži.,Actions,ne,ne
lake,jezero,65,We sit by the lake / pond and watch the water.,Sedíme u rybníka a díváme se na vodu.,,ne,ne
left,"levý, vlevo",66,Turn left at the next corner.,Na příští křižovatce zahni vlevo.,,ne,ano
like,mít rád,67,I like this song because it is simple.,"Mám rád tuhle písničku, protože je jednoduchá.",,ano,ano
lion,lev,68,The lion sleeps in the sun for hours.,Lev spí na slunci celé hodiny.,Animals,ano,ne
live,žít; bydlet,69,I live near a quiet park.,Bydlím blízko klidného parku.,,ne,ne
love,milovat,70,I love calm mornings with no rush.,Miluju klidná rána bez spěchu.,,ano,ne
milk,mléko,71,I add milk to my tea.,Dám si do čaje mléko.,Food,ano,ne
mom,máma,72,My mom makes me smile even on hard days.,Máma mě rozesměje i v těžkých dnech.,Family,ano,ne
monkey,opice,73,The monkey steals a banana and runs away.,Opice ukradne banán a uteče.,Animals,ano,ne
mother,matka,74,My mother keeps old photos in a small box.,Moje maminka schovává staré fotky v malé krabičce.,Family,ano,ano
name,jméno,75,What is your name?,Jak se jmenuješ?,,ano,ne
new,nový,76,I bought a new notebook for my ideas.,Koupil jsem si nový sešit na nápady.,,ano,ne
nurse,zdravotní sestra,77,The nurse checks on the patient with a kind voice.,Sestra zkontroluje pacienta a mluví laskavě.,,ne,ne
office,kancelář,78,"In the office, it is quiet in the morning.",V kanceláři je ráno klid.,,ne,ne
old,starý,79,This old chair is still strong.,Ta stará židle je pořád pevná.,,ne,ne
parents,rodiče,80,My parents visit us on Sunday.,Moji rodiče nás navštíví v neděli.,Family,ano,ne
park,park,81,We walk through the park and talk slowly.,Projdeme se parkem a v klidu si povídáme.,,ano,ne
popcorn,popcorn,82,"The popcorn is hot, so I blow on it.","Popcorn je horký, tak na něj fouknu.",Food,ano,ne
rabbit,králík,83,"A rabbit appears, then disappears in the grass.",Zajíc se objeví a hned zmizí v trávě.,Animals,ano,ne
red,červený,84,She chooses the red scarf.,Vybere si červenou šálu.,Colors,ano,ne
rhino,nosorožec,85,"The rhino looks heavy, but it moves fast.","Nosorožec vypadá těžký, ale pohybuje se rychle.",Animals,ano,ne
run,běhat,86,I run to catch the bus.,"Běžím, abych stihl autobus.",Actions,ne,ne
sheep,ovce,87,The sheep stay close together.,Ovce drží pohromadě.,Animals,ano,ne
sing,zpívat,88,We sing a short song on the way home.,Cestou domů si zazpíváme krátkou písničku.,Actions,ano,ne
sister,sestra,89,My sister sends me a message every morning.,Moje sestra mi posílá zprávu každé ráno.,Family,ano,ano
small,malý,90,"This cup is small, so I take two.","Ten hrnek je malý, tak si vezmu dva.",,ano,ano
smart,chytrý,91,"He is smart, but he stays humble.","Je chytrý, ale zůstává skromný.",,ne,ne
slow,pomalý,92,Please speak slow—I want to understand.,Prosím mluv pomalu—chci rozumět.,,ne,ne
speak,mluvit,93,I speak English a little every day.,Každý den trochu mluvím anglicky.,Actions,ne,ne
tall,vysoký,94,Peter is very tall.,Petr je velmi vysoký.,,ne,ne
teacher,učitel,95,The teacher explains it with a simple example.,Učitel to vysvětlí na jednoduchém příkladu.,,ano,ne
