Order,IT,CZ,ForeignImageHit
3,su,o (na téma), doplnit obrázek
6,troppo,příliš, moc, doplnit obrázek, odstranit lomítko
17,E tu?,A ty?,
21,vorrei,chtěl bych, doplnit obrázek
26,perfetto,skvěle, doplnit obrázek
31,bene,dobře,
47,mio,můj,
49,tuo,tvůj,
51,una,jedna (neurčitý člen),
52,un,jeden (neurčitý člen),
64,sei,ty jsi,
65,lui è / lei è,on je / ona je,
72,brutto,"špatný, ošklivý",
77,ci,"nás, nám",
81,ora,"teď, nyní",
96,ogni,každý,
102,guardare,"dívat se, sledovat, hlídat",
112,insegnare,"učit, vyučovat",
115,ballare,tančit,
116,storia,"historie, příběh",
117,brioche,"brioška, sladké pečivo",
122,piacere,"líbit se, potěšení",
125,ufficio,"kancelář, úřad",
127,impegnata,zaneprázdněná,
129,cuoca,kuchařka,
130,male,"špatně, zle, bolest",
131,stazione,"nádraží, stanice",
135,giocare,"hrát (hra, sport)",
138,mese,měsíc,
143,insieme,"spolu, dohromady",
149,da,"od, z, u, k",
152,esercizio,cvičení / úkol / trénink,
154,forse,možná,
159,poi,potom / pak,
162,restare,zůstat,
163,ricordare,"pamatovat si, připomenout",
164,stasera,dnes večer,
165,subito,"hned, okamžitě",
166,tornare,vrátit se,
169,viale,"třída, alej",
170,vocabolo,"slovíčko, výraz",
173,quando,"kdy, když",
174,nemico,nepřítel,
176,occupato,obsazeno; zaneprázdněný,
178,permesso,dovolení; svolení,
181,poco fa,před chvílí,
183,prendere,"vzít, brát",
187,rispondere,odpovědět,
189,romano,"Říman, římský",
190,russo,"Rus, ruský",
192,scusare,"omluvit, promiňte",
194,slovacco,"Slovák, slovenský",
196,sorpresa,překvapení,
197,Spagna,Španělsko,
198,spremuta,čerstvá šťáva,
199,te,"tebe, ti",
200,tecnico,technik; technický,
203,trovarsi,nacházet se; být,
205,vendere,prodat; prodávat,
209,cena,večeře,
210,che,"jaký, který",
213,chiamare,"volat, jmenovat se",
214,conoscere,"znát, poznat",
215,di,"z, ze, od",
216,dopo,"po, potom",
220,fontana,kašna; fontána,
222,francese,Francouz; francouzský,
223,francobollo,poštovní známka,
228,invitato,"pozvaný, host",
229,italiano,"Ital, italský",
235,misto,"míchaný, smíšený",
236,naturalmente,"přirozeně, samozřejmě",
237,altro,"jiný, další",
242,bravo,"dobrý, šikovný",
245,ceco,"Čech, český",
256,fra,"mezi, za",
257,gli,"mu, ji,  ti",
263,davvero,"opravdu, skutečně, vážně",
267,purtroppo,bohužel,
268,dolce,"sladký, sladkost, jemný, něžný",
269,un po’,"trochu, trošku",
272,debole,"slabý, slabá",
273,preferire,"preferovat, dávat přednost",
278,abbastanza,"dost, docela",
281,ancora,ještě,
283,aprire,otevřít,
284,asciugamano,ručník,
289,capire,"rozumět, chápat",
291,certamente,"určitě, jistě",
292,chiamarsi,jmenovat se,
293,chiuso,"zavřený, zavřeno",
294,città,město,
297,destro,"pravý, a destra vpravo, napravo",
298,difficile,"těžký, nesnadný",
302,dritto,"rovně, přímo",
304,facile,"lehký, snadný",
305,fermarsi,"zdržet se, zastavit se",
307,finire,skončit,
309,foto,"fotka, fotografie",
316,girare,"otočit, odbočit, zahnout",
319,interessarsi di,zajímat se o,
330,me,"mně, mě, mi",
333,niente,"nic, není zač",
335,Parigi,Paříž,
336,perché,"proč, protože",
340,proprio,"právě, zrovna",
342,radio,"rádio, rozhlas",
343,scusarsi,omluvit se,
345,sentire,"cítit, slyšet",
346,sentirsi,cítit se,
347,servire,"sloužit, obsluhovat",
348,sinistro,"levý, a sinistra vlevo, nalevo",
352,stesso,"tentýž, stejný",
353,stipendio,"plat, výplata",
355,tempo,"čas, počasí",
356,turista,"turista, turistka",
359,"vacanza, vacanze","dovolená, prázdniny",
361,vedere,vidět,
363,vero,"pravý, pravdivý, opravdový; è vero to je pravda",
372,mercoledì,středa,
374,domenica,neděle,
378,bisogno,potřeba,
379,chiudere,zavřít,
380,cielo,"obloha, nebe",
383,cominciare,"začít, začínat",
384,coperto,"zatažený, pokrytý",
386,desiderare,přát si,
389,dopodomani,pozítří,
392,frequentare,navštěvovat,
393,fuori,"ven, venku",
395,grave,"vážný, těžký",
397,incontrarsi,"setkat se, sejít se",
398,infatti,"opravdu, to je fakt",
401,interprete,tlumočník,
405,medico,"lékař, doktor",
406,montagna,"hora, hory",
407,ombrello,deštník,
409,piantina,"plánek, mapka",
410,piovere,pršet,
415,ragione,"pravda, důvod",
418,signorina,slečna,
419,stare,"být, mít se, zůstat",
420,strada,"cesta, ulice, silnice",
427,lasciare stare,nechat být,
429,fare,dělat,
433,famoso,"slavný, známý",
434,comprare,"koupit, kupovat",
436,antico,"starobylý, dávný, antický",
