CZ,FR,IT,ES,EN
pondělí,lundi,lunedì,lunes,Monday
úterý,mardi,martedì,martes,Tuesday
středa,mercredi,mercoledì,miércoles,Wednesday
čtvrtek,jeudi,giovedì,jueves,Thursday
pátek,vendredi,venerdì,viernes,Friday
sobota,samedi,sabato,sábado,Saturday
neděle,dimanche,domenica,domingo,Sunday
leden,janvier,gennaio,enero,January
únor,février,febbraio,febrero,February
březen,mars,marzo,marzo,March
duben,avril,aprile,abril,April
květen,mai,maggio,mayo,May
červen,juin,giugno,junio,June
červenec,juillet,luglio,julio,July
srpen,août,agosto,agosto,August
září,septembre,settembre,septiembre,September
říjen,octobre,ottobre,octubre,October
listopad,novembre,novembre,noviembre,November
prosinec,décembre,dicembre,diciembre,December
červená,rouge,rosso,rojo,red
modrá,bleu,blu,azul,blue
žlutá,jaune,giallo,amarillo,yellow
zelená,vert,verde,verde,green
černá,noir,nero,negro,black
bílá,blanc,bianco,blanco,white
oranžová,orange,arancione,naranja,orange
fialová,violet,viola,morado,purple
růžová,rose,rosa,rosa,pink
hnědá,marron,marrone,marrón,brown
jedna,un,uno,uno,one
dvě,deux,due,dos,two
tři,trois,tre,tres,three
čtyři,quatre,quattro,cuatro,four
pět,cinq,cinque,cinco,five
šest,six,sei,seis,six
sedm,sept,sette,siete,seven
osm,huit,otto,ocho,eight
devět,neuf,nove,nueve,nine
deset,dix,dieci,diez,ten
jedenáct,onze,undici,once,eleven
dvanáct,douze,dodici,doce,twelve
třináct,treize,tredici,trece,thirteen
čtrnáct,quatorze,quattordici,catorce,fourteen
patnáct,quinze,quindici,quince,fifteen
šestnáct,seize,sedici,dieciséis,sixteen
sedmnáct,dix-sept,diciassette,diecisiete,seventeen
osmnáct,dix-huit,diciotto,dieciocho,eighteen
devatenáct,dix-neuf,diciannove,diecinueve,nineteen
dvacet,vingt,venti,veinte,twenty
třicet,trente,trenta,treinta,thirty
čtyřicet,quarante,quaranta,cuarenta,forty
padesát,cinquante,cinquanta,cincuenta,fifty
šedesát,soixante,sessanta,sesenta,sixty
sedmdesát,soixante-dix,settanta,setenta,seventy
osmdesát,quatre-vingts,ottanta,ochenta,eighty
devadesát,quatre-vingt-dix,novanta,noventa,ninety
sto,cent,cento,cien,one hundred
tisíc,mille,mille,mil,one thousand
jeden milion,un million,un milione,un millón,one million
pes,chien,cane,perro,dog
kočka,chat,gatto,gato,cat
kůň,cheval,cavallo,caballo,horse
kráva,vache,mucca,vaca,cow
prase,cochon,maiale,cerdo,pig
ovce,mouton,pecora,oveja,sheep
koza,chèvre,capra,cabra,goat
slepice,poule,gallina,gallina,chicken
kachna,canard,anatra,pato,duck
husa,oie,oca,ganso,goose
králík,lapin,coniglio,conejo,rabbit
myš,souris,topo,ratón,mouse
krysa,rat,ratto,rata,rat
lev,lion,leone,león,lion
tygr,tigre,tigre,tigre,tiger
slon,éléphant,elefante,elefante,elephant
žirafa,girafe,giraffa,jirafa,giraffe
