FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
assiette,talíř,1,Je range toujours l'assiette dans le lave-vaisselle.,Po rodinné večeři vždy uklidím talíř do myčky.,ne,ne,f
sur,na,2,Mes clés sont sur la table.,Moje klíče jsou na stole.,ne,ne,
sur,o (na téma),3,Je lis un article sur l'intelligence artificielle.,Čtu článek o umělé inteligenci.,ne,ne,
là-bas,tam / tamhle,4,"Regarde là-bas, derrière la vieille gare.","Podívej tamhle, za starým nádražím.",ne,ne,
gâteau,dort,5,Nous préparons un gâteau pour son anniversaire.,Připravujeme dort k jeho narozeninám.,ne,ne,m
gâteau,koláč,6,Ma grand-mère prépare un gâteau aux pommes.,Moje babička peče jablečný koláč.,ne,ne,m
trop,příliš / moc,7,"Tu travailles trop ces jours-ci, vraiment.",Vážně teď příliš pracuješ.,ne,ne,
fort,silný,8,Le vent souffle fort sur la côte.,Na pobřeží silně fouká vítr.,ne,ne,
fort,hlasitě (nahlas),9,Parle moins fort dans cette salle.,V této místnosti mluv méně nahlas.,ne,ne,
chapeau,klobouk,10,Je porte un chapeau en été.,V létě nosím klobouk.,ne,ne,m
copine,kamarádka,11,Ma copine d'université vit à Lyon.,Moje kamarádka z univerzity žije v Lyonu.,ne,ne,f
copine,přítelkyně,12,Ma copine adore voyager en train.,Moje přítelkyně ráda cestuje vlakem.,ne,ne,f
chanter,zpívat,13,J'aime chanter en voiture pendant les longs trajets du soir.,Rád zpívám v autě během dlouhých večerních cest.,ne,ne,
portefeuille,peněženka,14,J'ai oublié mon portefeuille à la maison.,Zapomněl jsem peněženku doma.,ne,ne,m
portefeuille,portfolio (soubor investic),15,Je vérifie mon portefeuille chaque année.,Své portfolio kontroluji každý rok.,ne,ne,m
enchanté,těší mě,16,"Enchanté, j'ai entendu parler de vous.","Těší mě, slyšel jsem o vás.",ne,ne,
Je m'appelle,jmenuji se,17,Je m'appelle Lucie Dupont.,Jmenuji se Lucie Dupont.,ne,ne,
Ça va?,Jak se máš?,18,Ça va bien après le voyage ?,Máš se po cestě dobře?,ne,ne,
Je viens,Pocházím,19,Je viens de Paris. Il vient de Paris.,Pocházím z paříže. On pochází z Paříže.,ne,ne,
Et toi?,A ty?,20,"Moi, ça va bien. Et toi ?",Já se mám dobře. A ty?,ne,ne,
enchanté,těší mě,21,"Enchanté, je suis ravi de vous voir.","Těší mě, rád vás vidím.",ne,ne,
à bientôt,brzy na viděnou,22,On se voit bientôt pour un café.,Brzy se uvidíme na kávě.,ne,ne,
au revoir,na shledanou,23,"Au revoir, passez une belle journée.","Na shledanou, mějte hezký den.",ne,ne,
je voudrais,chtěl bych,24,"Je voudrais une baguette, s'il vous plaît.","Chtěl bych bagetu, prosím.",ne,ne,
s'il vous plaît,prosím,25,"Pouvez-vous parler un peu plus lentement, s'il vous plaît ?","Můžete mluvit trochu pomaleji, prosím?",ne,ne,
oui,ano,26,"Oui, je peux répondre tout de suite.","Ano, můžu odpovědět hned.",ne,ne,
moi,mě,27,"Moi, je préfère marcher le matin.",Já raději chodím ráno pěšky.,ne,ne,
aussi,také,28,Mon frère aime aussi le cinéma.,Můj bratr má také rád kino.,ne,ne,
parfait,skvěle,29,Ton idée est parfaite pour nous.,Tvůj nápad je pro nás skvělý.,ne,ne,
ou,nebo,30,On dîne ici ou au restaurant ?,Večeříme tady nebo v restauraci?,ne,ne,
et,a,31,J'achète du pain et du fromage.,Kupuji chleba a sýr.,ne,ne,
où,kde,32,Où as-tu garé la voiture aujourd'hui ?,Kde jsi dnes zaparkoval auto?,ne,ne,
d'où,odkud,33,"Paul, tu viens d'où?",Pavle odkud jsi?,ne,ne,
bien,dobře,34,"Aujourd'hui, je me sens vraiment bien.",Dnes se cítím opravdu dobře.,ne,ne,
j'ai,mám,35,J'ai encore trois réunions demain matin.,Zítra ráno mám ještě tři schůzky.,ne,ne,
il habite,bydlí,36,Il habite à Bordeaux avec sa famille.,Bydlí v Bordeaux se svou rodinou.,ne,ne,
tu as,máš,37,"Tu as beaucoup de patience avec les enfants, c'est admirable.","Máš s dětmi hodně trpělivosti, to je obdivuhodné.",ano,ne,
neveu,synovec,38,Mon neveu construit des robots en bois.,Můj synovec staví roboty ze dřeva.,ne,ne,m
nièce,neteř,39,Ma nièce apprend le piano et elle progresse très vite.,Moje neteř se učí na klavír a dělá rychlé pokroky.,ne,ne,f
fille,dcera,40,Sa fille lit chaque soir avant de dormir.,Jeho dcera si každý večer čte před spaním.,ne,ne,f
fils,syn,41,Le fils téléphone à ses parents chaque soir.,Syn telefonuje rodičům každý večer.,ne,ne,m
