IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
piatto,talíř,1,Metto il piatto nella lavastoviglie.,Dávám talíř do myčky.,ne,ano,m
su,na,2,Le chiavi sono su questo tavolo.,Klíče jsou na tomto stole.,ne,ne,
su,o (na téma),3,Leggo un libro su Roma.,Čtu knihu o Římě.,ne,ne,
laggiù,tam / tamhle,4,"Guarda laggiù, c'è il mare.","Podívej se tamhle, je tam moře.",ne,ano,
torta,"dort, koláč",5,Per il compleanno facciamo una torta.,K narozeninám děláme dort.,ne,ne,f
troppo,příliš / moc,6,Parli troppo in classe.,Mluvíš ve třídě příliš moc.,ne,ano,
forte,"silný, hlasitě (nahlas)",7,Oggi c'è un vento forte. Non parlare forte qui.,Dnes je silný vítr. Tady nemluv nahlas.,ne,ne,
cappello,klobouk,8,In estate porto un cappello.,V létě nosím klobouk.,ne,ne,m
amica,kamarádka,9,La mia amica vive a Milano.,Moje kamarádka žije v Miláně.,ano,ne,f
fidanzata,přítelkyně,10,La mia fidanzata ama viaggiare.,Moje přítelkyně ráda cestuje.,ne,ano,f
cantare,zpívat,11,Mi piace cantare in macchina.,Rád zpívám v autě.,ne,ne,
portafoglio,peněženka,12,Il mio portafoglio è a casa.,Moje peněženka je doma.,ne,ano,m
portafoglio,portfolio (soubor investic),13,Controllo il mio portafoglio ogni mese.,Každý měsíc kontroluji své portfolio.,ne,ne,m
piacere,těší mě,14,"Piacere, io sono Luca.","Těší mě, já jsem Luca.",ne,ne,
mi chiamo,jmenuji se,15,Mi chiamo Anna.,Jmenuji se Anna.,ne,ano,
Come stai?,Jak se máš?,16,"Ciao, come stai?","Ahoj, jak se máš?",ne,ano,
vengo,pocházím,17,Vengo da Praga.,Pocházím z Prahy.,ne,ano,
E tu?,A ty?,18,Io sto bene. E tu?,Já se mám dobře. A ty?,ne,ne,
piacere,těší mě,19,Piacere di conoscerti.,"Těší mě, že tě poznávám.",ne,ne,
a presto,brzy na viděnou,20,"A presto, ci vediamo domani.","Brzy na viděnou, uvidíme se zítra.",ne,ano,
arrivederci,na shledanou,21,Arrivederci e buona giornata.,Na shledanou a hezký den.,ne,ano,
vorrei,chtěl bych,22,"Vorrei un caffè, per favore.","Chtěl bych kávu, prosím.",ne,ano,
per favore,prosím,23,"Parla piano, per favore.","Mluv pomalu, prosím.",ne,ano,
sì,ano,24,"Sì, capisco.","Ano, rozumím.",ne,ano,
io,já,25,Io studio italiano ogni giorno.,Já studuji italštinu každý den.,ne,ano,
anche,také,26,Anche mio fratello studia.,Také můj bratr studuje.,ne,ano,
perfetto,skvěle,27,"Perfetto, andiamo adesso.","Skvěle, jdeme teď.",ne,ano,
o,nebo,28,Mangiamo a casa o fuori?,Jíme doma nebo venku?,ne,ne,
e,a,29,Compro pane e latte.,Kupuji chleba a mléko.,ne,ne,
dove,kde,30,Dove abiti?,Kde bydlíš?,ne,ano,
di dove,odkud,31,Di dove sei?,Odkud jsi?,ne,ano,
bene,dobře,32,Oggi sto bene.,Dnes se mám dobře.,ne,ne,
ho,mám,33,Ho due lezioni oggi.,Dnes mám dvě lekce.,ne,ne,
