Person;EN;Pronunciation [CZ];CZ
Kate;dark;[dárk];tmavý
Kate;hair;[he(r)];vlasy
Kate;brown;[braun];hnědý
Kate;eyes;[ajz];oči
Kate;years;[jýrz];roky / let
Kate;old;[ould];starý / letý
Kate;tall;[tól];vysoký
Kate;slim;[slim];štíhlý
Kate;older;[ouldr];starší
Kate;brother;[bradr];bratr
Kate;studies;[stadíz];studuje
Kate;university;[júnivérsiti];univerzita / vysoká škola
Kate;parents;[pérents];rodiče
Kate;teachers;[týčrz];učitelé
Kate;secondary school;[sekendry skúl];střední škola
Kate;lives;[livz];bydlí / žije
Kate;small;[smól];malý
Kate;house;[haus];dům
Kate;garden;[gárdn];zahrada
Kate;really;[ríli];opravdu
Kate;likes;[lajks];má rád / líbí se mu
Kate;reading;[rýding];čtení
Kate;top;[top];nejlepší / špičkový
Kate;student;[stjúdent];žák / student
Kate;loves;[lavz];miluje
Kate;walks;[wóks];procházky
Kate;trips;[trips];výlety
Kate;riding;[rajding];jízda (např. na kole)
Kate;bike;[bajk];kolo
Kate;best;[best];nejlepší
Kate;friend;[frend];kamarád(ka)
Lucy;fair;[fér];světlý (o vlasech)
Lucy;blue;[blú];modrý
Lucy;younger;[janggr];mladší
Lucy;sister;[sistr];sestra
Lucy;youngest;[janggest];nejmladší
Lucy;cannot;[kenot];nemůže
Lucy;walk;[wók];chodit
Lucy;yet;[jet];ještě
Lucy;father;[fádher];otec
Lucy;doctor;[doktr];lékař
Lucy;mother;[madr];matka
Lucy;nurse;[nérs];zdravotní sestra
Lucy;big;[big];velký
Lucy;swimming pool;[swiming púl];bazén
Lucy;drawing;[dróing];kreslení
Lucy;playing;[plejing];hraní
Lucy;helps;[helps];pomáhá
Lucy;dog;[dog];pes
Peter;athletic;[atlétik];sportovní / atletický
Peter;doesn't have;[daznt hev];nemá
Peter;post office;[poust ofis];pošta
Peter;left;[left];odešel / opustil
Peter;flat;[flet];byt
Peter;astronomy;[estrónemi];astronomie
Peter;maths;[mats];matematika
Peter;technology;[teknolodži];technologie
Peter;good;[gud];dobrý
Peter;goes;[góuz];chodí (někam)
Peter;stadium;[stejdiem];stadion
Peter;running;[raning];běhání
Peter;would like;[wud lajk];chtěl by / ráda by
Tom;green;[grín];zelený
Tom;visits;[vizits];navštěvuje
Tom;often;[ofn];často
Tom;together;[tugedr];spolu
Tom;red;[red];zrzavý / červený
Tom;behind;[bihajnd];pozadu
Tom;mainly;[mejnli];hlavně
Tom;building;[bilding];stavění / budování
Tom;toys;[tojz];hračky
Tom;model kits;[model kits];stavebnice / modelářské stavebnice
Tom;British;[britiš];britský
Tom;cat;[ket];kočka
Tom;name;[nejm];jméno
Tom;carpenter;[kárpentr];truhlář
Tom;waitress;[wejtris];servírka
