ES,CZ,Order,Sentence,SentenceT,L
un,jedna,1,"Bueno, uso la palabra «un» en una frase.","Dobře, si dobře pamatuji slovo „jedna“.",ne
dos,dvě,2,"Oye, digo «dos» y todos entienden.","Dobře, slyším slovo „dvě“ ve třídě.",ne
tres,tři,3,En serio recuerdo bien la palabra «tres».,Včera večer slyším slovo „tři“ ve třídě.,ne
cuatro,čtyři,4,Entonces escucho la palabra «cuatro» en clase.,Někdy dnes procvičuji slovo „čtyři“.,ne
cinco,pět,5,Pues uso la palabra «cinco» en una frase.,Dnes ráno slyším slovo „pět“ ve třídě.,ne
seis,šest,6,"Mira, practico hoy la palabra «seis».",Včera večer slyším slovo „šest“ ve třídě.,ne
siete,sedm,7,Ahora practico hoy la palabra «siete».,Vážně řeknu „sedm“ a všichni rozumí.,ne
ocho,osm,8,Entonces escribo «ocho» en mi cuaderno.,Včera večer slyším slovo „osm“ ve třídě.,ne
nueve,devět,9,Siempre escribo «nueve» en mi cuaderno.,"Jasně, slyším slovo „devět“ ve třídě.",ne
diez,deset,10,Ahora uso la palabra «diez» en una frase.,Někdy si dobře pamatuji slovo „deset“.,ne
once,jedenáct,11,"Sabes, escribo «once» en mi cuaderno.","Tak, dnes procvičuji slovo „jedenáct“.",ne
doce,dvanáct,12,"Dime, digo «doce» y todos entienden.","Hele, píšu „dvanáct“ do sešitu.",ne
trece,třináct,13,Hoy escribo «trece» en mi cuaderno.,"Poslouchej, píšu „třináct“ do sešitu.",ne
catorce,čtrnáct,14,"Dime, uso la palabra «catorce» en una frase.","Dobře, používám slovo „čtrnáct“ ve větě.",ne
quince,patnáct,15,"Bueno, recuerdo bien la palabra «quince».",Vždy si dobře pamatuji slovo „patnáct“.,ne
dieciséis,šestnáct,16,Ahora digo «dieciséis» y todos entienden.,Včera večer píšu „šestnáct“ do sešitu.,ne
diecisiete,sedmnáct,17,"Mira, digo «diecisiete» y todos entienden.",Včera večer píšu „sedmnáct“ do sešitu.,ne
dieciocho,osmnáct,18,Pues uso la palabra «dieciocho» en una frase.,Včera večer řeknu „osmnáct“ a všichni rozumí.,ne
diecinueve,devatenáct,19,Pues uso la palabra «diecinueve» en una frase.,"Tak, píšu „devatenáct“ do sešitu.",ne
veinte,dvacet,20,Por fin uso la palabra «veinte» en una frase.,"Tak, používám slovo „dvacet“ ve větě.",ne
veinte,dvacátý,21,"Vale, recuerdo bien la palabra «veinte».","Tak, píšu „dvacátý“ do sešitu.",ne
treinta,třicet,22,Entonces digo «treinta» y todos entienden.,"Víš, řeknu „třicet“ a všichni rozumí.",ne
cuarenta,čtyřicet,23,Anoche practico hoy la palabra «cuarenta».,"Dobře, píšu „čtyřicet“ do sešitu.",ne
cincuenta,padesát,24,Por fin uso la palabra «cincuenta» en una frase.,Včera večer řeknu „padesát“ a všichni rozumí.,ne
sesenta,šedesát,25,Anoche escribo «sesenta» en mi cuaderno.,"Jasně, slyším slovo „šedesát“ ve třídě.",ne
setenta,sedmdesát,26,A veces practico hoy la palabra «setenta».,"Tak, řeknu „sedmdesát“ a všichni rozumí.",ne
ochenta,osmdesát,27,En serio escribo «ochenta» en mi cuaderno.,Dnes píšu „osmdesát“ do sešitu.,ne
noventa,devadesát,28,Casi nunca uso la palabra «noventa» en una frase.,Takže řeknu „devadesát“ a všichni rozumí.,ne
cien,sto,29,Esta mañana escribo «cien» en mi cuaderno.,Teď používám slovo „sto“ ve větě.,ne
cien,stoprocentně,30,Anoche uso la palabra «cien» en una frase.,"Poslouchej, dnes procvičuji slovo „stoprocentně“.",ne
cien,úplně,31,Siempre recuerdo bien la palabra «cien».,Dnes řeknu „úplně“ a všichni rozumí.,ne
cien,naprosto,32,"Oye, practico hoy la palabra «cien».",Najednou dnes procvičuji slovo „naprosto“.,ne
mil,tisíc,33,"Bueno, uso la palabra «mil» en una frase.",No řeknu „tisíc“ a všichni rozumí.,ne
millón 1000,milión,34,Ahora digo «millón 1000» y todos entienden.,"Poslouchej, používám slovo „milión“ ve větě.",ne
centésimo 0.01,setina,35,"Dime, digo «centésimo 0.01» y todos entienden.",Dnes ráno dnes procvičuji slovo „setina“.,ne
