FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
assiette,talíř,1,Je range toujours l'assiette dans le lave-vaisselle.,Po rodinné večeři vždy uklidím talíř do myčky.,ne,ano,f
sur,na,2,J'ai laissé mes clés sur la table près de la fenêtre.,Nechal jsem klíče na stole u okna.,ne,ano,
sur,o (na téma),3,Je lis un article sur l'intelligence artificielle.,Čtu článek o umělé inteligenci.,ne,ne,
là-bas,tam / tamhle,4,"Regarde là-bas, on voit les montagnes derrière la vieille gare aujourd'hui.","Podívej tamhle, za starým nádražím jsou dnes vidět hory.",ne,ne,
gâteau,"dort, koláč",5,"Pour son anniversaire, nous avons préparé un gâteau chocolat et fraises maison.",K narozeninám jsme doma připravili čokoládový dort s jahodami.,ne,ano,m
trop,příliš / moc,6,"Tu travailles trop ces jours-ci, repose-toi vraiment un peu ce week-end.","Teď moc pracuješ, o víkendu si opravdu trochu odpočiň.",ne,ano,
fort,silný,7,"Aujourd'hui, le vent souffle fort sur la côte, les bateaux restent au port.","Dnes na pobřeží silně fouká, lodě zůstávají v přístavu.",ne,ano,
fort,hlasitě (nahlas),8,"Dans cette salle, parle doucement pour que chacun reste bien concentré.","V této místnosti mluv tiše, aby se každý dobře soustředil.",ne,ano,
chapeau,klobouk,9,"En été, je porte un chapeau clair contre le soleil brûlant.",V létě nosím světlý klobouk proti pálícímu slunci.,ne,ne,m
copine,kamarádka,10,"Ma copine d'université vit à Lyon, mais nous parlons chaque semaine.","Moje kamarádka z univerzity žije v Lyonu, ale mluvíme spolu týdně.",ne,ano,f
copine,přítelkyně,11,"Ma copine adore le train, nous partons souvent en escapade ensemble.","Moje přítelkyně miluje vlak, často spolu vyrážíme na výlety.",ne,ano,f
chanter,zpívat,12,J'aime chanter en voiture pendant les longs trajets du soir.,Rád zpívám v autě během dlouhých večerních cest.,ne,ne,
portefeuille,peněženka,13,"J'ai oublié mon portefeuille, je paie donc avec mon téléphone aujourd'hui.","Zapomněl jsem peněženku, takže dnes platím telefonem.",ne,ano,m
portefeuille,portfolio (soubor investic),14,"Avant de modifier mon portefeuille, j'évalue risques et rendements sur cinq ans.","Než upravím portfolio, hodnotím rizika a výnosy za pět let.",ne,ne,m
Je m'appelle,jmenuji se,15,Je m'appelle Lucie et je travaille dans une petite librairie du centre-ville.,Jmenuji se Lucie a pracuji v malém knihkupectví v centru města.,ne,ano,
Ça va?,Jak se máš?,16,"Salut Marie, ça va aujourd'hui après ton long voyage en train ?","Ahoj Marie, máš se dnes dobře po své dlouhé cestě vlakem?",ne,ano,
Je viens,Pocházím,17,Je viens de Paris. Il vient de Paris.,Pocházím z paříže. On pochází z Paříže.,ne,ano,
Et toi?,A ty?,18,"Moi, je vais bien, et toi, comment s'est passée ta journée ?","Já se mám dobře, a ty, jaký byl tvůj den?",ne,ne,
enchanté,těší mě,19,"Enchanté, je suis très heureux de faire votre connaissance ce soir.","Těší mě, jsem moc rád, že vás dnes večer poznávám.",ne,ne,
à bientôt,brzy na viděnou,20,"Je dois partir maintenant, mais on se retrouve à bientôt pour un café.","Teď už musím jít, ale brzy se znovu uvidíme na kávě.",ne,ano,
au revoir,na shledanou,21,"Merci pour votre visite et au revoir, passez une excellente journée.","Děkuji za vaši návštěvu a na shledanou, přeji vám krásný den.",ne,ano,
je voudrais,chtěl bych,22,"Je voudrais une baguette fraîche et deux croissants, s'il vous plaît.","Chtěl bych čerstvou bagetu a dva croissanty, prosím.",ne,ano,
s'il vous plaît,prosím,23,"Pouvez-vous parler un peu plus lentement, s'il vous plaît ?","Můžete mluvit trochu pomaleji, prosím?",ne,ne,
oui,ano,24,"Oui, je comprends la question et je peux répondre tout de suite.","Ano, otázce rozumím a můžu odpovědět hned.",ano,ne,
moi,mě,25,"Moi, je préfère marcher le matin quand les rues sont encore calmes.","Já dávám přednost ranní chůzi, když jsou ulice ještě klidné.",ne,ne,
aussi,také,26,"J'aime le cinéma, et mon frère aime aussi les films français.",Mám rád kino a můj bratr má také rád francouzské filmy.,ne,ne,
parfait,skvěle,27,Ton idée est parfaite pour notre projet de fin de semaine.,Tvůj nápad je skvělý pro náš víkendový projekt.,ne,ano,
ou,nebo,28,On peut dîner à la maison ou dans ce nouveau restaurant italien.,Můžeme večeřet doma nebo v té nové italské restauraci.,ne,ne,
et,a,29,J'achète du pain et du fromage avant de rentrer à la maison.,"Koupím chleba a sýr, než se vrátím domů.",ne,ne,
où,kde,30,"Où as-tu garé la voiture, près de la gare ou plus loin ?","Kde jsi zaparkoval auto, u nádraží nebo dál?",ne,ne,
d'où,odkud,31,"Paul, tu viens d'où?",Pavle odkud jsi?,ne,ano,
bien,dobře,32,"Aujourd'hui je me sens bien, alors je vais faire une longue promenade.","Dnes se cítím dobře, tak půjdu na dlouhou procházku.",ne,ne,
j'ai,mám,33,"J'ai trois réunions demain matin, donc je dois me coucher tôt.","Zítra ráno mám tři schůzky, takže musím jít brzy spát.",ne,ne,
il habite,bydlí,34,Il habite à Bordeaux avec sa famille depuis plus de dix ans.,Bydlí v Bordeaux se svou rodinou už více než deset let.,ne,ne,
tu as,máš,35,"Tu as beaucoup de patience avec les enfants, c'est admirable.","Máš s dětmi hodně trpělivosti, to je obdivuhodné.",ne,ne,
neveu,synovec,36,Mon neveu adore construire des robots avec de petites pièces en bois.,Můj synovec rád staví roboty z malých dřevěných dílků.,ne,ano,m
nièce,neteř,37,Ma nièce apprend le piano et elle progresse très vite.,Moje neteř se učí na klavír a dělá rychlé pokroky.,ne,ano,f
fille,dcera,38,Sa fille lit chaque soir avant de dormir.,Jeho dcera si každý večer čte před spaním.,ne,ne,f
maintenant,teď,39,Nous devons partir maintenant pour arriver à l'heure.,"Musíme vyrazit teď, abychom dorazili včas.",ne,ne,
tante,teta,40,Ma tante prépare toujours une soupe délicieuse le dimanche.,Moje teta vždy v neděli připravuje výbornou polévku.,ne,ano,f
oncle,strýc,41,Mon oncle raconte des histoires drôles pendant les repas de famille.,Můj strýc vypráví během rodinných obědů vtipné historky.,ne,ne,m
je,já,42,"Je suis prêt pour l'examen, j'ai beaucoup révisé cette semaine.","Já jsem připravený na zkoušku, tento týden jsem hodně opakoval.",ne,ne,
tu,ty,43,"Tu peux fermer la fenêtre, s'il te plaît ?","Můžeš zavřít okno, prosím?",ne,ne,
il,on,44,Il travaille tard ce soir pour terminer un dossier important.,"On dnes večer pracuje dlouho, aby dokončil důležitý spis.",ne,ne,
elle,ona,45,Elle parle trois langues et apprend maintenant le portugais.,Ona mluví třemi jazyky a teď se učí portugalsky.,ne,ne,
vous,vy,46,Vous arrivez à quelle heure demain matin à la gare ?,V kolik zítra ráno dorazíte na nádraží?,ne,ne,
nous,my,47,Nous allons au marché ensemble chaque samedi matin.,My chodíme společně na trh každou sobotu ráno.,ne,ne,
ils,oni,48,Ils jouent au football dans le parc après l'école.,Oni hrají po škole v parku fotbal.,ne,ne,
elles,ony,49,Elles préparent un exposé sur l'histoire de la photographie.,Ony připravují prezentaci o historii fotografie.,ne,ne,
mon,můj,50,"Mon sac est sous la chaise, juste à côté de la porte.",Můj batoh je pod židlí hned vedle dveří.,ne,ne,
ma,moje,51,Ma voiture est au garage parce que le moteur fait un bruit étrange.,"Moje auto je v servisu, protože motor vydává divný zvuk.",ne,ne,
ton,tvůj,52,Ton téléphone est resté sur la table de la cuisine.,Tvůj telefon zůstal na kuchyňském stole.,ne,ne,
ta,tvá,53,"Ta veste est très élégante, cette couleur te va très bien.","Tvá bunda je velmi elegantní, tahle barva ti moc sluší.",ne,ne,
une,"ona, jedna",54,Une amie de Prague vient nous rendre visite ce week-end.,Jedna kamarádka z Prahy nás přijede o víkendu navštívit.,ne,ne,
un,"on, jeden",55,Un voisin m'a aidé à porter les courses jusqu'à l'ascenseur.,Jeden soused mi pomohl vynést nákup až k výtahu.,ne,ne,
grand-mère,babička,56,Ma grand-mère connaît beaucoup de chansons anciennes par cœur.,Moje babička zná zpaměti spoustu starých písní.,ne,ne,f
grand-père,dědeček,57,Mon grand-père aime jouer aux échecs avec ses amis.,Můj dědeček rád hraje šachy se svými přáteli.,ne,ne,m
très,velmi,58,Ce film est très touchant et la musique est magnifique.,Tento film je velmi dojemný a hudba je nádherná.,ne,ne,
amusante,zábavný,59,"Cette histoire est vraiment amusante, tout le monde rit.","Ten příběh je opravdu zábavný, všichni se smějí.",ne,ne,
intéressant,zajímavý,60,"Le sujet est intéressant, alors je vais lire encore davantage.","To téma je zajímavé, takže si o něm přečtu ještě víc.",ano,ne,
méchant,"zlý, protivný",61,"Ce voisin paraît méchant, mais en réalité il est timide.","Ten soused působí protivně, ale ve skutečnosti je stydlivý.",ne,ano,
je suis,já jsem,62,"Je suis un peu fatigué aujourd'hui, mais je reste motivé.","Dnes jsem trochu unavený, ale zůstávám motivovaný.",ne,ne,
tu es,ty jsi,63,"Tu es toujours ponctuel, c'est très agréable pour travailler ensemble.","Ty jsi vždy dochvilný, a to je pro společnou práci moc příjemné.",ne,ne,
il est / elle est,"on je, ono je / ona je",64,"Il est très calme, mais elle est beaucoup plus énergique.","On je velmi klidný, ale ona je mnohem energičtější.",ne,ne,
sûr,jistý,65,"Je ne suis pas sûr de la réponse, je vais vérifier encore.","Nejsem si odpovědí jistý, ještě to ověřím.",ne,ne,
bien sûr,samozřejmě,66,"Bien sûr, je peux t'aider à préparer la présentation.","Samozřejmě, můžu ti pomoci připravit prezentaci.",ne,ano,
toujours,pořád vždycky,67,Elle arrive toujours en avance aux rendez-vous importants.,Na důležité schůzky přichází vždycky dřív.,ne,ne,
pas du tout,vůbec,68,Ce n'est pas du tout difficile quand on s'entraîne chaque jour.,"Není to vůbec těžké, když člověk trénuje každý den.",ne,ano,
mais,ale,69,"Je voulais sortir, mais il a commencé à pleuvoir.","Chtěl jsem jít ven, ale začalo pršet.",ne,ne,
voyager,cestovat,70,Il voyage souvent pour le travail.,Často cestuje kvůli práci.,ne,ne,
seule,sám,71,Je suis seule à la maison.,Jsem sama doma.,ne,ano,
déjà,"už, již",72,J’ai déjà mangé.,Už jsem jedl.,ne,ano,
à l’heure,"včas, na čas",73,Le train est à l’heure.,Vlak jede na čas.,ne,ne,
cadeau,dárek,74,"Merci pour le cadeau, ça me fait vraiment plaisir.","Děkuju za dárek, mám z toho opravdu radost.",ne,ano,m
par,"skrz, přes",75,Je passe par le parc pour rentrer chez moi.,"Procházím přes park, abych se dostal domů.",ne,ne,
par,za jednotku,76,"Un café, c’est trois euros par personne.",Káva je tři eura na osobu.,ne,ne,
par,"od, kým",77,Ce livre est écrit par un auteur français.,Tuhle knihu napsal francouzský autor.,ne,ne,
près d’ici,blízko,78,"Il y a une boulangerie près d’ici, à deux minutes.","Je tu pekárna blízko odsud, dvě minuty.",ne,ne,
pull,svetr,79,"J’ai froid, je mets un pull.","Je mi zima, vezmu si svetr.",ne,ne,m
salut,ahoj,80,Salut ! Ça va ?,Ahoj! Jak se máš?,ne,ne,
d’accord,"dobře, jasně",81,"D’accord, on se retrouve à six heures devant la gare.","Dobře, sejdeme se v šest před nádražím.",ne,ne,
repas,jídlo,82,"Le repas est prêt, on peut manger.","Jídlo je hotové, můžeme jíst.",ne,ano,m
déjeuner,"obědvat, oběd",83,"On déjeune à midi, comme d’habitude.","Obědváme v poledne, jako obvykle.",ne,ano,
en général,"obecně, zpravidla, většinou",84,"En général, je me couche tôt pendant la semaine.",Obecně chodím ve všední dny spát brzy.,ne,ano,
parfois,někdy,85,Je viens parfois ici.,Chodím sem někdy.,ne,ano,
pause,přestávka,86,Il est toujours à l`heure pour la pause.,Je vždy včas na přestávce.,ano,ne,f
pendant,"během, po dobu",87,Je lis pendant dix minutes avant de dormir.,Čtu deset minut před spaním.,ne,ano,
marcher,"chodit, kráčet",88,"Je marche jusqu’à la gare, c’est près d’ici.","Jdu pěšky na nádraží, je to blízko odsud.",ne,ne,
marcher,fungovat,89,Mon téléphone ne marche plus.,Můj telefon už nefunguje.,ne,ne,
ensemble,"společně, dohromady",90,"On mange ensemble ce soir, d’accord ?","Dnes večer budeme jíst spolu, platí?",ne,ano,
prêt,připravený,91,"Je suis prêt, on peut partir maintenant.","Jsem připravený, můžeme teď vyrazit.",ne,ne,
rester,zůstat,92,Je reste à la maison parce qu’il fait trop froid dehors.,"Zůstanu doma, protože je venku moc zima.",ne,ano,
robe,"šaty, róba",93,Elle porte une robe bleue pour la fête.,Má na sobě modré šaty na oslavu.,ne,ne,f
chemise,košile,94,"Ma chemise est sale, je dois la laver.","Moje košile je špinavá, musím ji vyprat.",ne,ano,f
ceinture,pásek,95,"Cette ceinture est trop grande, je prends une autre taille.","Tenhle pásek je moc velký, vezmu jinou velikost.",ne,ano,f
