ES,CZ,Order
un   1,jedna,1
dos   2,dvě,2
tres   3,tři,3
cuatro   4,čtyři,4
cinco   5,pět,5
seis   6,šest,6
siete   7,sedm,7
ocho   8,osm,8
nueve   9,devět,9
diez   10,deset,10
once   11,jedenáct,11
doce   12,dvanáct,12
trece   13,třináct,13
catorce   14,čtrnáct,14
quince   15,patnáct,15
dieciséis   16,šestnáct,16
diecisiete   17,sedmnáct,17
dieciocho   18,osmnáct,18
diecinueve   19,devatenáct,19
veinte   20,dvacet,20
veinte   20,dvacátý,21
treinta   30,třicet,22
cuarenta   40,čtyřicet,23
cincuenta   50,padesát,24
sesenta   60,šedesát,25
setenta   70,sedmdesát,26
ochenta   80,osmdesát,27
noventa   90,devadesát,28
cien   100,sto,29
cien   100,stoprocentně,30
cien   100,úplně,31
cien   100,naprosto,32
mil   1000,tisíc,33
millón   1000 000,milión,34
centésimo   0.01,setina,35
centésimo   0.01,stý,36
décimo  0.1,desetina,37
décimo  0.1,desátý,38
quinto 1/5,pětina,39
cuarto 1/4,čtvrtina,40
cuarto 1/4,čtvrtý,41
cuarto 1/4,místnost,42
cuarto 1/4,pokoj,43
tercio 1/3,třetina,44
tercio 1/3,třetí,45
la mitad 1/2,polovina,46
la mitad 1/2,půlka,47
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/6,48
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/7,49
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/8,50
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/9,51
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/11,52
sexto, séptimo, octavo, noveno, undécimo, duodécimo,1/12,53
decimotercera parte, decimocuarta parte, vigésima parte,1/13,54
decimotercera parte, decimocuarta parte, vigésima parte,1/14,55
decimotercera parte, decimocuarta parte, vigésima parte,1/20,56
trigésimo, cuadragésimo, cincuentena (quincuagésimo),1/30,57
trigésimo, cuadragésimo, cincuentena (quincuagésimo),1/40,58
trigésimo, cuadragésimo, cincuentena (quincuagésimo),1/50,59
el vale,poukaz,60
el vale,stvrzenka,61
el vale,účtenka,62
el vale,platí,63
el vale,souhlasím,64
el vale,měj se,65
pasajero, -ra,cestující,66
pasajero, -ra,pasažér,67
pasajero, -ra,pomíjivý,68
pasajero, -ra,prchavý,69
sí,ano,70
si,jestliže,71
si,pokud,72
si,kdyby,73
por si nada,jakoby nic,74
por si acaso,v případě,75
por si acaso,že / pro všechny případy / kdyby náhodou,76
no,ne,77
el,určitý člen,78
él,on (zájmeno),79
joven, el/la joven,mladý,80
joven, el/la joven,chlapec/děvče,81
la juventud,mládí,82
hablar,mluvit,83
el lápiz (lápices),tužka,84
la lata / dar (la) lata a algn,plechovka,85
la lata / dar (la) lata a algn,nuda / být pro někoho nudné,86
la bandera,vlajka,87
el chicle,žvýkačka,88
el bolso,kabelka,89
el bolso,kapsa,90
la bolsa,taška,91
la bolsa,brašna,92
la bolsa,burza,93
el saludo,pozdrav,94
hola,ahoj,95
hola,nazdar (při setkání),96
hola,vyjádření údivu ...,97
inglés,angličtina,98
el bolígrafo,pero na psaní,99
la víctima,obět,100
el fútbol,fotbal,101
el interés,zájem,102
el pescado,ryba,103
el pescado,rybí maso,104
el helado,zmrzlina,105
el helado,zmrzlý,106
el helado,chladný,107
el helado,studený,108
el helado,mražený,109
la gracia,děkuji,110
la gracia,milost,111
la gracia,půvab,112
mucho,hodně,113
mucho,velmi,114
mucho,moc,115
mucho,dloho,116
mucho,dlouhá doba,117
Mucho gusto. / Encantado / Encantada.,Těší mě. při představování,118
Buenos días!,Dobrý den! pozdrav,119
Buenas noches / tardes!,Dobrou noc!/Dobrý večer!,120
grande,velký,121
grande,vysoký,122
grande,dospělý,123
alto,vysoký,124
alto,vznešený,125
alto,nahlas,126
alto,hlasitě,127
bajo,malý,128
bajo,nízký,129
bajo,skloněný,130
bajo,ubohý,131
bajo,potichu,132
el hombre,člověk,133
el hombre,muž,134
el hombre,Člověče! Ty bláho!,135
El hombre propone y Dios dispone.,Člověk míní,136
El hombre propone y Dios dispone.,pánbůh mění.,137
proponer (se),navrhnout (předsevzít si),138
disponer,rozhodnout,139
disponer,nařídit,140
disponer,uspořádat,141
disponer,rozestavit,142
disponer,přichystat,143
yo,já,144
yo que tú,já na tvém místě,145
yo que tú,já být tebou,146
tú,ty,147
tú,tykat,148
vosotros, -tras,vy,149
ellos, -llas,oni,150
ellos, -llas,ony,151
ella,ona,152
ello (eso),ono,153
ello (eso),to,154
¡Vaya con Dios!,Bůh vás provázej!,155
vaya,to je,156
vaya,ale,157
vaya,no tohle,158
con,s,159
con,se,160
con,v,161
con,za,162
habla con Lola, escribe con lápiz,mluví s Lolou,163
habla con Lola, escribe con lápiz,píše tužkou,164
amigo, -ga,přítel (kyně),165
amigo, -ga,kamarád (ka),166
¡Querido amigo!,Drahý příteli! v dopise,167
querido, -da,chtěný,168
querido, -da,milovaný,169
querido, -da,drahoušek,170
querido, -da,zlatíčko,171
adiós,rozloučení,172
adiós,nashledanou,173
adiós,ahoj,174
¡Hasta la vista! (luego),Na viděnou,175
¡Hasta la vista! (luego),na shledanou.,176
luego,pak,177
luego,potom,178
la vista / la visión,zrak,179
la vista / la visión,pohled,180
la vista / la visión,vidění / zrak,181
hasta,až do,182
hasta,dokonce,183
hasta,za chvíli,184
hasta,ahoj příště,185
Hasta mañana.,nashledanou zítra,186
el mañana / la mañana / pasado mañana,zítra,187
el mañana / la mañana / pasado mañana,zítřek / ráno,188
el mañana / la mañana / pasado mañana,jitro / pozítří,189
nada (de nada),nic,190
nada (de nada),vůbec ne (není zač),191
Yo soy,Já jsem ...,192
gato, -ta,kocour,193
gato, -ta,kočka,194
perro, -rra,pes,195
perro, -rra,fena,196
zorro, -rra,lišák,197
zorro, -rra,liška,198
zorro, -rra,mazaný,199
la cabra,koza,200
cerdo, -da,prase,201
cerdo, -da,čuně,202
cerdo, -da,špinavý,203
cerdo, -da,sprosťák,204
cerdo, -da,hrubý,205
la vaca,kráva,206
la vaca,hovězí maso,207
el ratón, la ratona (casera),myš (domácí),208
la gallina / el gallo,slepice,209
la gallina / el gallo,bačkora,210
la gallina / el gallo,zbabělý,211
la gallina / el gallo,poseroutka / kohout,212
el pollo,kuře,213
el pollo,ptáče,214
el pollo,mládě,215
el pollo,zajíček (kluk),216
el pato,kachna,217
el pato,kačer,218
el pato,nemotorný,219
el pato,nešikovný,220
el pato,lenoch,221
el pato,flákač,222
la oca,husa,223
el loro / el papagayo,papoušek,224
blanco, -ca,bílý,225
blanco, -ca,běloch,226
negro, -ra,černý,227
negro, -ra,tmavý,228
verde / verdoso = nazelenalý,zelený,229
verde / verdoso = nazelenalý,syrový,230
verde / verdoso = nazelenalý,v začátcích,231
verde / verdoso = nazelenalý,nezralý,232
verde / verdoso = nazelenalý,nezkušený,233
verde / verdoso = nazelenalý,oplzlý,234
azul,modrý,235
azul,obloha,236
amarillo, -lla,žlutý,237
amarillo, -lla,bulvární,238
rojo, -ja,červený,239
rojo, -ja,rudý,240
rojo, -ja,komunistický,241
rojo, -ja,rezavý,242
rosado, -a,růžový,243
marrón / pardo,hnědý,244
gris,šedý,245
naranja, naranjado, anaranjado,oranžový,246
morado, morada,fialový,247
violeta,světle fialový,248
violeta,fialka,249
el ayer,včera,250
el ayer,včerejšek,251
el ayer,minulost,252
el futuro,budoucnost,253
el futuro,budoucí,254
el futuro,příští,255
decidir / decisivo,rozhodnout (se) / rozhodující,256
aprender,(na) učit se,257
aprender,zapamatovat si,258
saber,vědět,259
saber,znát,260
saber,moci,261
saber,umět,262
saber,chutnat,263
posible,možný,264
posible,pravděpodobný,265
ser,být,266
ser,existovat,267
ser,vyskytovat se,268
yo soy, nosotros somos,jsem,269
yo soy, nosotros somos,jsme,270
tú eres, vosotros sois,jsi,271
tú eres, vosotros sois,jste,272
él es, ellos son,je,273
él es, ellos son,jsou,274
esperar,doufat,275
esperar,věřit,276
esperar,čekat,277
esperar,očekávat,278
bastante,dost,279
bastante,dostatečně,280
bastante,akorát,281
diligente,pečlivý,282
diligente,snaživý,283
diligente,pilný,284
diligente,rychlý,285
diligente,hbitý,286
diligente,pohotový,287
en,v,288
en,ve (místně),289
vive en Madrid,žije v Madridu,290
y,a,291
y,i,292
recientemente,nedávno,293
comprar,(za)koupit,294
comprar,kupovat,295
comprar,podplatit,296
la motocicleta (la moto),motorka,297
