Latina;Čeština
vir;muž
fēmina;žena
puer;chlapec
puella;dívka
familia;rodina
pater;otec
māter;matka
fīlius;syn
fīlia;dcera
līberī;děti
servus;otrok
dominus;pán
ancilla;otrokyně
domina;paní
liber;svobodný
titulus;nápis, titul
pāgina;stránka
antīquus;starý, dávný
novus;nový
cēterī;ostatní
meus;můj
tuus;tvůj
centum;sto
duo, duae;dva, dvě
tria;tři
-que;a (připojené „a“)
quis?;kdo?
quae?;která? / kdo? (ž.r.)
quī?;který? / kdo?
cuius?;čí?
quot?;kolik?
masculīnum;mužský rod
fēminīnum;ženský rod
neutrum;střední rod
genitīvus;genitiv (2. pád)
capitulum;kapitola
syllaba;slabika
exemplum;příklad
pēnsum;úkol
magnus;velký
parvus;malý
Graecus;řecký, Řek
Rōmānus;římský, Říman
Latīnus;latinský
multī;mnozí
paucī;málo, několik
ūnus;jeden
duo;dva
trēs;tři
sex;šest
mīlle;tisíc
prīmus;první
secundus;druhý
tertius;třetí
est;je
sunt;jsou
in;v
et;a
sed;ale
nōn;ne
quoque;také
-ne?;otázková částice
ubi?;kde?
num?;zda?
quid?;co?
grammatica;gramatika
singulāris;jednotné číslo
plūrālis;množné číslo
fluvius;řeka
īnsula;ostrov
oppidum;město
ōceanus;oceán
imperium;říše
prōvincia;provincie
numerus;číslo, počet
littera;písmeno
vocābulum;slovo
