EN,CZ,Order,Sentence,SentenceT,L
a glass (of water),sklenice (vody),1,I drink a glass of water when I wake up.,"Když se probudím, vypiji sklenici vody.",
airport,letiště,2,"The airport was busy, so we came early.","Letiště bylo plné lidí, tak jsme přijeli brzy.",
animal,zvíře,3,The little animal hides behind the tree.,To malé zvíře se schovává za stromem.,
baby elephant,slůně,4,The baby elephant splashes water and looks happy.,Slůně cáká vodu a vypadá spokojeně.,
bag,taška,5,I put my phone in my bag and close it.,Dám si telefon do tašky a zavřu ji.,
big,velký,6,"This house is big, but it feels warm inside.","Tenhle dům je velký, ale uvnitř je útulno.",
bike,kolo,7,I ride my bike to the park on sunny days.,Za slunečných dní jedu na kole do parku.,
bird,pták,8,A small bird sings on the window in the morning.,Ráno zpívá na okně malý pták.,
black,černý,9,He wears a black jacket in the winter.,V zimě nosí černou bundu.,
blue,modrý,10,The sky is blue after the rain.,Po dešti je nebe modré.,
book,kniha,11,"This book is short, but I like it a lot.","Ta kniha je krátká, ale moc se mi líbí.",
box,krabice,12,Please put the cups back into the box.,Prosím dej hrnky zpátky do krabice.,
breakfast,snídaně,13,For breakfast I usually have bread and tea.,K snídani si obvykle dám chleba a čaj.,
British,britský,14,My neighbor is British and speaks very politely.,Můj soused je Brit a mluví velmi zdvořile.,
brother,bratr,15,My brother calls me every Sunday evening.,Můj bratr mi volá každou neděli večer.,
burger,hamburger,16,We share one burger and laugh about the day.,Dáme si jeden burger na půl a smějeme se tomu dni.,
bus station,autobusové nádraží,17,Let’s meet at the bus station near the clock.,Sejdeme se na autobusovém nádraží u hodin.,
bye,ahoj (na rozloučenou),18,"It’s late, so I say bye and go home.","Je pozdě, tak řeknu ahoj a jdu domů.",
cannot,nemůže,19,I cannot open this jar—can you help me?,Nemůžu otevřít tuhle sklenici—pomůžeš mi?,
cat,kočka,20,The cat sleeps on the chair all afternoon.,Kočka spí celé odpoledne na židli.,
cinema,kino,21,We go to the cinema and buy popcorn.,Jdeme do kina a koupíme si popcorn.,
coffee,káva,22,"I make coffee, and the kitchen smells great.",Uvařím kávu a v kuchyni je krásná vůně.,
cook,vařit; kuchař,23,I like to cook simple food for my family.,Rád vařím jednoduché jídlo pro svou rodinu.,
cow,kráva,24,A cow stands in the field and watches us.,Na louce stojí kráva a dívá se na nás.,
crocodile,krokodýl,25,"In the picture, the crocodile has a huge mouth.",Na obrázku má krokodýl obrovskou tlamu.,
dark,tmavý,26,"The room is dark, so I turn on the light.","V pokoji je tma, tak rozsvítím.",
dog,pes,27,The dog waits by the door for a walk.,Pes čeká u dveří na procházku.,
doctor,lékař,28,The doctor listens carefully and speaks calmly.,Doktor pozorně poslouchá a mluví klidně.,
document,dokument,29,Please sign this document at the bottom.,Prosím podepiš tento dokument dole.,
drink,nápoj; pít,30,"When I feel tired,I drink a little water.","Když jsem unavený,napiju se trochu vody.",
drawing,kreslení,31,Your drawing is funny and very clear.,Tvá kresba je vtipná a moc povedená.,
duck,kachna,32,A duck swims slowly across the pond.,Kachna pomalu plave přes rybník.,
elephant,slon,33,The elephant lifts its trunk and greets the kids.,Slon zvedne chobot a jako by zdravil děti.,
English,angličtina,34,I read an English story before I sleep.,Před spaním čtu anglický příběh.,
excuse me,promiňte,35,"Excuse me, is this seat free?","Promiňte, je tohle místo volné?",
eyes,oči,36,Her eyes are tired after a long day.,Po dlouhém dni má unavené oči.,
fair,světlý (o vlasech),37,He has fair hair and a friendly smile.,Má světlé vlasy a přátelský úsměv.,
family,rodina,38,My family eats together on weekends.,O víkendu moje rodina jí společně.,
father,otec,39,My father tells me a short story every time we meet.,Můj otec mi vždy při setkání vypráví krátký příběh.,
field,pole; louka,40,"In the field,the grass moves in the wind.",Na poli se tráva hýbe ve větru.,
film,film,41,"This film is quiet, but it stays in my mind.","Ten film je klidný, ale zůstane mi v hlavě.",
fish,ryba,42,"The fish jumps, and the water makes circles.",Ryba vyskočí a na vodě udělá kruhy.,
food,jídlo,43,"The food is hot, so I wait a moment.","Jídlo je horké, tak chvilku počkám.",
free,volný; zdarma,44,Are you free this evening for a short walk?,Máš dnes večer čas na krátkou procházku?,
friend,kamarád,45,A good friend helps without asking for anything.,"Dobrý přítel pomůže, aniž by něco chtěl.",
garden,zahrada,46,"In the garden, I plant flowers in spring.",Na zahradě na jaře sázím květiny.,
giraffe,žirafa,47,The giraffe reaches the leaves at the top.,Žirafa dosáhne na listy úplně nahoře.,
goat,koza,48,The goat eats calmly and looks curious.,Koza klidně jí a vypadá zvědavě.,
go,jít,49,"I go to the store, then I come back quickly.",Jdu do obchodu a pak se rychle vrátím.,
good,dobrý,50,That was a good idea—thank you!,To byl dobrý nápad—děkuju!,
goodbye,nashledanou,51,We wave and say goodbye at the gate.,Zamáváme si a rozloučíme se u brány.,
green,zelený,52,The green tree looks fresh after the rain.,Zelený strom vypadá po dešti svěže.,
grey,šedý,53,"On a grey day, a warm tea helps.",V šedivý den pomůže teplý čaj.,
hair,vlasy,54,My hair gets messy in the wind.,Ve větru se mi rozcuchají vlasy.,
happy,šťastný,55,I feel happy when the sun comes out.,"Jsem šťastný, když vyjde slunce.",
hear,slyšet,56,Can you hear the birds outside?,Slyšíš venku ptáky?,
hello,ahoj / dobrý den,57,Hello! How was your day?,Ahoj! Jaký jsi měl den?,
help,pomoc; pomoci,58,Thank you for your help; I really needed it.,"Děkuju za pomoc,opravdu jsem ji potřeboval.",
home,domov,59,"After work, I go home and rest for a while.",Po práci jdu domů a chvíli si odpočinu.,
horse,kůň,60,The horse runs fast and then stops quietly.,Kůň rychle běží a pak tiše zastaví.,
house,dům,61,"Our house is small, but we love it.","Náš dům je malý, ale máme ho rádi.",
I (am),já (jsem),62,I (am) ready now—let’s start.,Už jsem připravený—pojďme začít.,
in,v,63,The keys are in my pocket.,Klíče jsou v mé kapse.,
jump,skákat,64,The child can jump over the small puddle.,Dítě umí přeskočit malou louži.,
lake / pond,rybník,65,We sit by the lake / pond and watch the water.,Sedíme u rybníka a díváme se na vodu.,
left,odešel,66,Turn left at the next corner.,Na příští křižovatce zahni vlevo.,
like,mít rád,67,I like this song because it is simple.,"Mám rád tuhle písničku, protože je jednoduchá.",
lion,lev,68,The lion sleeps in the sun for hours.,Lev spí na slunci celé hodiny.,
live,žít; bydlet,69,I live near a quiet park.,Bydlím blízko klidného parku.,
love,milovat,70,I love calm mornings with no rush.,Miluju klidná rána bez spěchu.,
milk,mléko,71,I add milk to my tea.,Dám si do čaje mléko.,
mom,máma,72,My mom makes me smile even on hard days.,Máma mě rozesměje i v těžkých dnech.,
monkey,opice,73,The monkey steals a banana and runs away.,Opice ukradne banán a uteče.,
mother,matka,74,My mother keeps old photos in a small box.,Moje maminka schovává staré fotky v malé krabičce.,
name,jméno,75,What is your name?,Jak se jmenuješ?,
new,nový,76,I bought a new notebook for my ideas.,Koupil jsem si nový sešit na nápady.,
nurse,zdravotní sestra,77,The nurse checks on the patient with a kind voice.,Sestra zkontroluje pacienta a mluví laskavě.,
office,kancelář,78,"In the office, it is quiet in the morning.",V kanceláři je ráno klid.,
old,starý,79,This old chair is still strong.,Ta stará židle je pořád pevná.,
parents,rodiče,80,My parents visit us on Sunday.,Moji rodiče nás navštíví v neděli.,
park,park,81,We walk through the park and talk slowly.,Projdeme se parkem a v klidu si povídáme.,
popcorn,popcorn,82,"The popcorn is hot, so I blow on it.","Popcorn je horký, tak na něj fouknu.",
rabbit,králík,83,"A rabbit appears, then disappears in the grass.",Zajíc se objeví a hned zmizí v trávě.,
red,červený,84,She chooses the red scarf.,Vybere si červenou šálu.,
rhino,nosorožec,85,"The rhino looks heavy, but it moves fast.","Nosorožec vypadá těžký, ale pohybuje se rychle.",
run,běhat,86,I run to catch the bus.,"Běžím, abych stihl autobus.",
sheep,ovce,87,The sheep stay close together.,Ovce drží pohromadě.,
sing,zpívat,88,We sing a short song on the way home.,Cestou domů si zazpíváme krátkou písničku.,
sister,sestra,89,My sister sends me a message every morning.,Moje sestra mi posílá zprávu každé ráno.,
small,malý,90,"This cup is small, so I take two.","Ten hrnek je malý, tak si vezmu dva.",
smart,chytrý,91,"He is smart, but he stays humble.","Je chytrý, ale zůstává skromný.",
slow,pomalý,92,Please speak slow—I want to understand.,Prosím mluv pomalu—chci rozumět.,
speak,mluvit,93,I speak English a little every day.,Každý den trochu mluvím anglicky.,
tall,vysoký,94,That tree is tall and easy to see.,Ten strom je vysoký a jde dobře vidět.,
teacher,učitel,95,The teacher explains it with a simple example.,Učitel to vysvětlí na jednoduchém příkladu.,
ticket,lístek,96,I buy a ticket and put it in my pocket.,Koupím si lístek a dám si ho do kapsy.,
walk,chodit,97,Let’s walk slowly and enjoy the air.,Pojďme jít pomalu a užít si vzduch.,
water,voda,98,Cold water feels good after a long walk.,Studená voda je příjemná po dlouhé procházce.,
white,bílý,99,The white cat sits on the warm window.,Bílá kočka sedí na teplém parapetu.,
yellow,žlutý,100,A yellow flower grows near the path.,U cesty roste žlutý květ.,
zoo,zoologická zahrada,101,"At the zoo, the kids ask many questions.",V zoo se děti ptají na spoustu věcí.,
zebra,zebra,102,The zebra has black and white stripes.,Zebra má černobílé pruhy.,
