id,text_cs
intro2_short,"Jestli mě už znáš, jdeme objevovat. Tak klikni na lupu."
intro2_long_1,"Ahoj, já jsem Benži. Tvůj dědeček je můj přítel a požádal mě, abych ti pomohl objevovat nový svět."
intro2_long_2,"Svět, kde se mluví anglicky. To je řeč, se kterou se pak domluvíš skoro všude, kam půjdeš."
intro2_long_3,"Pojďme na to."
intro3_line,"Začneme v mém rodném lese."
mushrooms_colors_intro,"Klikej na houby a poslouchej barvy."
mushrooms_numbers_intro,"Klikej na houby a počítej."
benji_bunny_01_benji_hello_cz,"Ahoj."
benji_bunny_02_bunny_hello_cz,"Ahoj."
benji_bunny_03_benji_i_am_benji_cz,"Já jsem Benži."
benji_bunny_04_bunny_i_am_bunny_cz,"Já jsem Bany."
benji_bunny_05_benji_we_can_be_friends_cz,"Můžeme být kamarádi."
benji_bunny_06_bunny_yes_we_can_cz,"Ano, můžeme."
benji_bunny_07_benji_where_do_we_go_cz,"Kam půjdeme?"
benji_bunny_08_bunny_we_go_to_my_house_ok_cz,"Půjdeme ke mně domů. Platí?"
benji_bunny_09_benji_ok_lets_go_cz,"Platí. Jdeme."
benji_bunny_scene_help_cz1,"Teď klikni na každou bublinu. Uslyšíš větu anglicky a potom česky. Až klikneš na všechny bubliny, otevřou se zelené dveře."
benji_bunny_scene_help_cz2,"Když už víš, co věty znamenají, klikni na všechny bubliny. Až budou hotové, otevřou se dveře dál."
house_bunny_01_intro_train_basic_colours_cz,"Teď budeme trénovat barvy. Poslouchej anglické slovo a klikňi na správnou barvu."
house_bunny_02_intro_excellent_try_again_cz,"Když trefíš správnou barvu, uslyšíš Excellent. Když se spleteš, uslyšíš traj egejn."
owl_garden_01_owl_hello_benji_bunny_cz,"Ahoj Benži a Bany."
owl_garden_02_owl_i_have_presents_cz,"Mám pro vás dárečky."
owl_garden_03_owl_count_apples_sunflowers_pigs_cz,"Počítej v mojí zahradě fialová jablka, žluté slunečnice a růžová prasátka."
owl_garden_04_help_click_words_cz,"Klikni na skupinu obrázků a poslouchej anglické počítání."
owl_garden_05_help_thumbs_up_cz,"Palec nahoru znamená, že je to správně."
owl_garden_06_help_green_light_cz,"Zelené světlo znamená, že můžeš pokračovat dál."
owl_garden_07_help_all_done_cz,"Až bude všechno hotové, objeví se další cesta."
owl_garden_08_benji_do_you_remember_colors_cz,"Bany, pamatuješ si barvy? Žlutá, fialová, růžová..."
owl_garden_09_bunny_we_can_train_all_colors_cz,"Ano. Ale všechny barvy můžeme trénovat u mě doma. Pojďme."
forest_school_help_cz,"Je to správně? Pokud ano, klikňi na jes. Pokud ne, klikňi na nou."
