Pronoun;Verb;Adverbial;QuestionAux;QuestionVerb;Translation
I;am;old;;am;Jsem starý.
you;are;young;;are;Jsi mladý.
he;is;tall;;is;On je vysoký.
she;is;small;;is;Ona je malá.
it;is;blue;;is;To je modré.
we;are;friends;;are;Jsme přátelé.
you;are;nice;;are;Jste milí.
they;are;at home;;are;Oni jsou doma.
I;have;a dog;Do;have;Mám psa.
you;have;green eyes;Do;have;Máš zelené oči.
he;has;two sisters;Does;have;On má dvě sestry.
she;has;a cat;Does;have;Ona má kočku.
it;has;black color;Does;have;To má černou barvu.
we;have;a big house;Do;have;Máme velký dům.
you;have;a nice garden;Do;have;Máte hezkou zahradu.
they;have;a red car;Do;have;Oni mají červené auto.
I;go;home;Do;go;Jdu domů.
you;go;to school;Do;go;Jdeš do školy.
he;goes;to the cinema;Does;go;On jde do kina.
she;goes;to her friend;Does;go;Ona jde za svou kamarádkou.
it;goes;well;Does;go;Jde to dobře.
we;go;to you;Do;go;Jdeme k tobě.
you;go;to the restaurant;Do;go;Jdete do restaurace.
they;go;to the shop;Do;go;Oni jdou do obchodu.
