FR,CZ,Order,Sentence,SentenceT,L,HT
assiette,talíř,1,Je range toujours l'assiette dans le lave-vaisselle.,Po rodinné večeři vždy uklidím talíř do myčky.,ne,ano
sur,na,2,J'ai laissé mes clés sur la table près de la fenêtre.,Nechal jsem klíče na stole u okna.,ne,ne
sur,o (na téma),3,Je lis un article sur l'intelligence artificielle.,Čtu článek o umělé inteligenci.,ne,ne
là-bas,tam / tamhle,4,"Regarde là-bas, derrière la vieille gare, on voit les montagnes quand le ciel est parfaitement dégagé.","Podívej se tamhle za starým nádražím, když je úplně jasno, jsou vidět hory.",ne,ne
gâteau,dort,5,"Pour son anniversaire, nous avons préparé un grand gâteau au chocolat avec des fraises et une crème légère.",K narozeninám jsme připravili velký čokoládový dort s jahodami a lehkým krémem.,ne,ano
gâteau,koláč,6,"Le dimanche matin, ma grand-mère fait un gâteau aux pommes qui sent bon dans toute la maison.","V neděli ráno dělá babička jablečný koláč, který krásně voní po celém domě.",ne,ne
trop,příliš / moc,7,"Tu travailles trop ces derniers jours, alors essaie de te reposer un peu ce week-end.","Poslední dny pracuješ příliš moc, tak si zkus o víkendu trochu odpočinout.",ne,ne
fort,silný,8,"Aujourd'hui, le vent est très fort sur la côte, donc les bateaux restent au port par sécurité.","Dnes je na pobřeží velmi silný vítr, takže lodě kvůli bezpečnosti zůstávají v přístavu.",ne,ne
fort,hlasitě (nahlas),9,"Dans cette salle, il faut parler moins fort pour que tout le monde puisse se concentrer.","V této místnosti je potřeba mluvit méně nahlas, aby se všichni mohli soustředit.",ne,ne
chapeau,klobouk,10,"Quand il fait très chaud en été, je porte toujours un chapeau clair pour me protéger du soleil.","Když je v létě velké horko, vždy nosím světlý klobouk, abych se chránil před sluncem.",ne,ano
copine,kamarádka,11,"Ma copine de l'université habite maintenant à Lyon, mais nous parlons encore chaque semaine.","Moje kamarádka z univerzity teď bydlí v Lyonu, ale pořád si každý týden voláme.",ne,ne
copine,přítelkyně,12,"Ma copine adore les voyages en train, alors nous planifions souvent de petites escapades en France.","Moje přítelkyně miluje cestování vlakem, takže často plánujeme malé výlety po Francii.",ano,ne
chanter,zpívat,13,"J'aime chanter dans la voiture pendant les longs trajets, surtout quand la route est calme.","Rád zpívám v autě během dlouhých cest, hlavně když je silnice klidná.",ne,ne
portefeuille,peněženka,14,"J'ai oublié mon portefeuille à la maison, alors je dois payer avec mon téléphone aujourd'hui.","Zapomněl jsem doma peněženku, takže dnes musím platit telefonem.",ne,ano
portefeuille,portfolio (soubor investic),15,"Avant de changer mon portefeuille d'investissements, je compare les risques et les rendements sur plusieurs années.","Než změním své investiční portfolio, porovnám rizika a výnosy za několik let.",ne,ne
enchanté,těší mě,16,"Enchanté de vous rencontrer enfin en personne, j'ai entendu beaucoup de choses positives sur votre travail.","Těší mě, že vás konečně poznávám osobně, o vaší práci jsem slyšel spoustu pozitivního.",ne,ne
Je m'appelle,jmenuji se,17,Je m'appelle Lucie et je travaille dans une petite librairie du centre-ville.,Jmenuji se Lucie a pracuji v malém knihkupectví v centru města.,ne,ne
