Lekce;Otázka;Kladná odpověď;Záporná odpověď
be;Is he happy?;Yes, he is.;No, he isn't.
be;Am I eight years old?;Yes, you are.;No, you're not.
be;Are they friends?;Yes, they are.;No, they aren't.
be;Are they tired?;Yes, they are.;No, they aren't.
be;Are you at home now?;Yes, I am.;No, I'm not.
be;Are you at home?;Yes, I am.;No, I'm not.
be;Is my mom nice?;Yes, she is.;No, she isn't.
be;Are we good students?;Yes, we are.;No, we aren't.
be;Are you happy students?;Yes, we are.;No, we aren't.
be;Is your brother tall?;Yes, he is.;No, he isn't.
be;Are they good students?;Yes, they are.;No, they aren't.
be;Is your teacher nice?;Yes, he is.;No, he isn't.
be;Are they at school?;Yes, they are.;No, they aren't.
be;Are they in the city now?;Yes, they are.;No, they're not.
be;Is he your brother?;Yes, he is.;No, he isn't.
be;Is she your friend?;Yes, she is.;No, she isn't.
be;Is the sky grey?;Yes, it is.;No, it isn't.
be;Are they in Prague?;Yes, they are.;No, they aren't.
be;Are you tired now?;Yes, I am.;No, I'm not.
be;Is he at home?;Yes, he is.;No, he isn't.
be;Is she at school?;Yes, she is.;No, she isn't.
be;Am I your friend?;Yes, you are.;No, you aren't.
be;Are we in Prague?;Yes, we are.;No, we aren't.
be;Is it black?;Yes, it is.;No, it isn't.
be;Are you at school now?;Yes, I am.;No, I'm not.
be;Are they in the garden?;Yes, they are.;No, they aren't.
be;Is she at home?;Yes, she is.;No, she isn't.
be;Are they in the garden now?;Yes, they are.;No, they aren't.
be;Is he tired?;Yes, he is.;No, he isn't.
be;Is she your sister?;Yes, she is.;No, she isn't.
be;Is her bag black?;Yes, it is.;No, it isn't.
be;Are you in the garden today?;Yes, I am.;No, I'm not.
be;Is it blue?;Yes, it is.;No, it's not.
be;Is he in the garden?;Yes, he is.;No, he isn't.
be;Are you a good student?;Yes, I am.;No, I'm not.
be;Are we at school?;Yes, we are.;No, we aren't.
be;Is the cat white?;Yes, it is.;No, it isn't.
be;Are they at school today?;Yes, they are.;No, they aren't.
be;Are you in the city?;Yes, I am.;No, I'm not.
be;Are we tired?;Yes, we are.;No, we aren't.
be;Are they in Prague today?;Yes, they are.;No, they aren't.
be;Are my eyes green?;Yes, they are.;No, they aren't.
be;Is she in the city?;Yes, she is.;No, she's not.
be;Is it yellow?;Yes, it is.;No, it isn't.
be;Is the sun yellow?;Yes, it is.;No, it isn't.
be;Are the men tall?;Yes, they are.;No, they aren't.
be;Is your teacher in the class?;Yes, he is.;No, he's not.
