FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
assiette,talíř,1,Je range toujours l'assiette dans le lave-vaisselle.,Po rodinné večeři vždy uklidím talíř do myčky.,ne,ne,f
sur,na,2,Mes clés sont sur la table.,Moje klíče jsou na stole.,ne,ne,
sur,o,3,Je lis un article sur l'intelligence artificielle.,Čtu článek o umělé inteligenci.,ne,ne,
là-bas,tam,4,"Regarde là-bas, derrière la vieille gare.","Podívej tamhle, za starým nádražím.",ne,ne,
gâteau,"dort, koláč",5,Nous préparons un gâteau pour son anniversaire.,Připravujeme dort k jeho narozeninám.,ne,ano,m
trop,"příliš, moc",6,"Tu travailles trop ces jours-ci, vraiment.",Vážně teď příliš pracuješ.,ne,ano,
fort,silný,7,Le vent souffle fort sur la côte.,Na pobřeží silně fouká vítr.,ne,ano,
fort,hlasitě (nahlas),8,Parle moins fort dans cette salle.,V této místnosti mluv méně nahlas.,ne,ano,
chapeau,klobouk,9,Je porte un chapeau en été.,V létě nosím klobouk.,ne,ne,m
copine,kamarádka,10,Ma copine d'université vit à Lyon.,Moje kamarádka z univerzity žije v Lyonu.,ne,ne,f
copine,přítelkyně,11,Ma copine adore voyager en train.,Moje přítelkyně ráda cestuje vlakem.,ne,ano,f
chanter,zpívat,12,J'aime chanter en voiture pendant les longs trajets du soir.,Rád zpívám v autě během dlouhých večerních cest.,ne,ne,
portefeuille,peněženka,13,J'ai oublié mon portefeuille à la maison.,Zapomněl jsem peněženku doma.,ne,ne,m
portefeuille,portfolio (soubor investic),14,Je vérifie mon portefeuille chaque année.,Své portfolio kontroluji každý rok.,ne,ne,m
Je m'appelle,jmenuji se,15,Je m'appelle Lucie Dupont.,Jmenuji se Lucie Dupont.,ne,ne,
Ça va?,Jak se máš?,16,Ça va bien après le voyage ?,Máš se po cestě dobře?,ne,ano,
Je viens,pocházím,17,Je viens de Paris. Il vient de Paris.,Pocházím z paříže. On pochází z Paříže.,ne,ano,
Et toi?,A ty?,18,"Moi, ça va bien. Et toi ?",Já se mám dobře. A ty?,ne,ne,
enchanté,těší mě,19,"Enchanté, je suis ravi de vous voir.","Těší mě, rád vás vidím.",ne,ne,
à bientôt,brzy na viděnou,20,On se voit bientôt pour un café.,Brzy se uvidíme na kávě.,ne,ano,
au revoir,na shledanou,21,"Au revoir, passez une belle journée.","Na shledanou, mějte hezký den.",ne,ano,
je voudrais,chtěl bych,22,"Je voudrais une baguette, s'il vous plaît.","Chtěl bych bagetu, prosím.",ne,ano,
s'il vous plaît,prosím,23,"Pouvez-vous parler un peu plus lentement, s'il vous plaît ?","Můžete mluvit trochu pomaleji, prosím?",ne,ano,
oui,ano,24,"Oui, je peux répondre tout de suite.","Ano, můžu odpovědět hned.",ne,ano,
moi,mě,25,"Moi, je préfère marcher le matin.",Já raději chodím ráno pěšky.,ne,ano,
aussi,také,26,Mon frère aime aussi le cinéma.,Můj bratr má také rád kino.,ne,ne,
parfait,skvěle,27,Ton idée est parfaite pour nous.,Tvůj nápad je pro nás skvělý.,ne,ano,
ou,nebo,28,On dîne ici ou au restaurant ?,Večeříme tady nebo v restauraci?,ne,ne,
et,a,29,J'achète du pain et du fromage.,Kupuji chleba a sýr.,ne,ne,
où,"kde, kam",30,Où as-tu garé la voiture aujourd'hui ?,Kde jsi dnes zaparkoval auto?,ne,ne,
d'où,odkud,31,"Paul, tu viens d'où?",Pavle odkud jsi?,ne,ano,
bien,dobře,32,"Aujourd'hui, je me sens vraiment bien.",Dnes se cítím opravdu dobře.,ne,ne,
j'ai,mám,33,J'ai encore trois réunions demain matin.,Zítra ráno mám ještě tři schůzky.,ne,ne,
il habite,bydlí,34,Il habite à Bordeaux avec sa famille.,Bydlí v Bordeaux se svou rodinou.,ne,ne,
tu as,máš,35,"Tu as beaucoup de patience avec les enfants, c'est admirable.","Máš s dětmi hodně trpělivosti, to je obdivuhodné.",ne,ne,
neveu,synovec,36,Mon neveu construit des robots en bois.,Můj synovec staví roboty ze dřeva.,ne,ano,m
nièce,neteř,37,Ma nièce apprend le piano et elle progresse très vite.,Moje neteř se učí na klavír a dělá rychlé pokroky.,ne,ano,f
fille,dcera,38,Sa fille lit chaque soir avant de dormir.,Jeho dcera si každý večer čte před spaním.,ne,ne,f
maintenant,"teď, nyní",39,Nous devons partir maintenant pour arriver à l'heure.,"Musíme vyrazit teď, abychom dorazili včas.",ne,ne,
tante,teta,40,Ma tante prépare toujours une soupe délicieuse le dimanche.,Moje teta vždy v neděli připravuje výbornou polévku.,ne,ano,f
oncle,strýc,41,Mon oncle raconte des histoires drôles.,Můj strýc vypráví vtipné historky.,ne,ne,m
